PRM,EC,CLASS,PRC,PRDB,PROH,SPECIE,PRERR,PRI:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML,PRI:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML,PRI:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML,FA1M,FA1C,FA1DB,FA1ERR,FA1I:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML,FA1I:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML,FA1I:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML,FA2M,FA2C,FA2DB,FA2ERR,FA2I:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML,FA2I:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML,FA2I:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML,FACO2M,FACO2I:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML,FACO2I:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML,FACO2I:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML
735.5710197,C40 D5 H72 O8 N1 P1 ,PE,35,1,0,PEd5 35:1:0,0.55,4696289.3,4847229.4,4519812,269.248605,17,0,0,1322146.4,1483998.5,1477510.6,281.2483914,18,1,-0.76,3254264.9,3688708.5,3726731.8,None, None, None, None
759.5705362,C42 D5 H72 O8 N1 P1 ,PE,37,3,0,PEd5 37:3:0,-0.1,2879505.9,2976907.7,2750606.1,269.248605,17,0,0,832287.5,924533.2,876539.7,305.2481778,20,3,-1.4,1540783.6,1669235.1,1598813.4,None, None, None, None
785.586102,C44 D5 H74 O8 N1 P1 ,PE,39,4,0,PEd5 39:4:0,-0.21,1421989.8,1450042.4,1352358.4,269.248605,17,0,0,419568.9,448699.3,396099.5,331.2635586,22,4,-2.1,445277.8,496205.2,432857.8,None, None, None, None
###,PECO,,,,,,,,,,,,,,,,,,,,,,,,,,,
759.5705362,C42 D5 H72 O8 N1 P1 ,PE,37,3,0,PEd5 37:3:0,-0.1,2879505.9,2976907.7,2750606.1,269.248605,17,0,0,832287.5,924533.2,876539.7,305.2481778,20,3,-1.4,1540783.6,1669235.1,1598813.4,261.2587877,11180.9,13546.4,16421.7
785.586102,C44 D5 H74 O8 N1 P1 ,PE,39,4,0,PEd5 39:4:0,-0.21,1421989.8,1450042.4,1352358.4,269.248605,17,0,0,419568.9,448699.3,396099.5,331.2635586,22,4,-2.1,445277.8,496205.2,432857.8,287.2742296,23661.5,23899.2,20163.3
###,PGfa,,,,,,,,,,,,,,,,,,,,,,,,,,,
710.5025039,H65 C37 D5 O10 P1 ,PG,31,1,0,PGd5 31:1:0,-0.13,2007248.5,2072460.6,1959468.5,269.248605,17,0,0,537973.9,627521.3,574566.9,225.1859219,14,1,-0.37,1174224.6,1320469,1244373.4,None, None, None, None
738.5341395,H69 C39 D5 O10 P1 ,PG,33,1,0,PGd5 33:1:0,0.33,3522130.3,3636327.3,3415435.2,269.248605,17,0,0,902362.5,1103889.8,933797.8,253.2172787,16,1,-0.1,2095202.9,2550801.7,2240796.8,None, None, None, None
766.5651647,H73 C41 D5 O10 P1 ,PG,35,1,0,PGd5 35:1:0,-0.04,4965419.7,5121757,4768484,281.2484015,18,1,-0.72,3452905.1,3663135.1,3384198.5,269.248605,17,0,0,1411951.5,1537637.5,1417535.6,None, None, None, None
790.5651288,H73 C43 D5 O10 P1 ,PG,37,3,0,PGd5 37:3:0,-0.08,3379437.6,3511558.7,3230102.4,305.2481778,20,3,-1.4,1842258,2077643.7,1763468.3,269.248605,17,0,0,947950.1,1083792.2,914552.4,None, None, None, None
816.5807363,H75 C45 D5 O10 P1 ,PG,39,4,0,PGd5 39:4:0,-0.13,1605512.4,1672094.2,1533281.5,331.2635484,22,4,-2.13,577654,650937.9,605895.7,269.248605,17,0,0,435881.1,507507.1,452124.4,None, None, None, None
###,PGCO,,,,,,,,,,,,,,,,,,,,,,,,,,,
