Species	PRI_240116_PG_FTMSMS-_1.mzXML	PRI_240116_PG_FTMSMS-_2.mzXML	PRI_240116_PG_FTMSMS-_3.mzXML	PRI_240116_PG_FTMSMS-_4.mzXML	PRI_Group-1	Mspecies	FAI.FC_240116_PG_FTMSMS-_1.mzXML	FAI.FC_240116_PG_FTMSMS-_2.mzXML	FAI.FC_240116_PG_FTMSMS-_3.mzXML	FAI.FC_240116_PG_FTMSMS-_4.mzXML	FAI.FC_Group-1
						PG 16:0/20:2	[0.15456752..0.18730246]	[0.15347493..0.2063067]	[0.17102402..0.19903183]	[0.15919924..0.19669205]	[0.15347493..0.2063067]	
						PG 18:0/18:2	[6.502259..6.761033]	[6.827134..7.3078527]	[6.7446513..6.9306254]	[6.8994308..7.0615582]	[6.502259..7.3078527]	
						PG 18:2/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 18:1/18:1	[1.8920598..2.0135407]	[1.9821366..2.115411]	[2.0337245..2.1370358]	[2.0338798..2.1542943]	[1.8920598..2.1542943]	
PG 36:3:0	2.1120825	2.091209	2.1319067	2.066682	[2.066682..2.1319067]	Sum	[1.8104434..2.0329201]	[1.8716533..2.0889812]	[1.9033445..2.1709661]	[1.9681966..2.2106905]	[1.8104434..2.2106905]	
						PG 20:3 (5z-11z)/16:0	[0.0..0.0]	[0.0..0.038790915]	[0.0..0.0]	[0.0..0.022331731]	[0.0..0.038790915]	
						PG 16:0/20:3 (5z-11z)	[0.46922043..0.59978634]	[0.45085964..0.61572874]	[0.51012474..0.68529147]	[0.510396..0.67671907]	[0.45085964..0.68529147]	
						PG 18:0/18:3 (6z-9z)	[0.042881902..0.057126913]	[0.05483911..0.06867521]	[0.046569355..0.0640854]	[0.04879265..0.061764777]	[0.042881902..0.06867521]	
						PG 18:3 (6z-9z)/18:0	[0.0..0.007540752]	[0.0..0.00157953]	[0.0..0.0014739642]	[0.0..0.005002947]	[0.0..0.007540752]	
						PG 18:1/18:2	[1.1271483..1.217942]	[1.1756699..1.1968179]	[1.145444..1.3449988]	[1.2116424..1.3074489]	[1.1271483..1.3449988]	
						PG 18:2/18:1	[0.14909591..0.17477812]	[0.16912188..0.18853982]	[0.09867621..0.20480004]	[0.13915613..0.20025298]	[0.09867621..0.20480004]	
PG 36:4:0	2.9065251	2.8082252	2.8646755	2.842329	[2.8082252..2.9065251]	Sum	[2.230034..2.87239]	[2.3221548..2.6126354]	[2.3609948..2.7029645]	[2.372093..2.787702]	[2.230034..2.87239]	
						PG 20:4 (5z-8z)/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 16:0/20:4 (5z-8z)	[2.033116..2.6287827]	[2.1164575..2.3922226]	[2.1366699..2.4850678]	[2.1543832..2.5674076]	[2.033116..2.6287827]	
						PG 18:1/18:3 (6z-9z)	[0.011956481..0.0225219]	[0.009315107..0.01834754]	[0.0086819..0.022756424]	[0.008019119..0.015895957]	[0.008019119..0.022756424]	
						PG 18:3 (6z-9z)/18:1	[0.010495465..0.020818854]	[0.012854282..0.022547986]	[0.008452674..0.022498196]	[0.012956059..0.021376278]	[0.008452674..0.022547986]	
						PG 18:2/18:2	[0.16913603..0.20504743]	[0.17853136..0.19272906]	[0.18071157..0.20530762]	[0.19251746..0.20650166]	[0.16913603..0.20650166]	
PG 36:5:0	0.06304227	0.05900653	0.07374296	0.0681996	[0.05900653..0.07374296]	Sum	[0.057456248..0.071868025]	[0.060140964..0.06832374]	[0.059458382..0.07312681]	[0.06356205..0.07099105]	[0.057456248..0.07312681]	
						PG 22:5 (4z-7z)/14:0	[0.0..6.447502E-4]	[0.0..2.285894E-4]	[0.0..3.699913E-4]	[0.0..0.0]	[0.0..6.447502E-4]	
						PG 14:0/22:5 (4z-7z)	[0.003505191..0.0054639843]	[0.004177781..0.005195214]	[0.004010646..0.005872878]	[0.004679356..0.005095681]	[0.003505191..0.005872878]	
						PG 20:4 (5z-8z)/16:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 16:1/20:4 (5z-8z)	[0.028686928..0.03869655]	[0.030011626..0.0373532]	[0.030991636..0.039634712]	[0.03119676..0.038378112]	[0.028686928..0.039634712]	
						PG 20:5 (5z)/16:0	[0.0018486058..0.0054492196]	[0.00171982..0.005150288]	[0.0023044..0.0059239026]	[0.0022087318..0.0056629605]	[0.00171982..0.0059239026]	
						PG 16:0/20:5 (5z)	[0.0036100133..0.007327619]	[0.0037461421..0.0073391595]	[0.0032367148..0.0069174683]	[0.0039009054..0.007577485]	[0.0032367148..0.007577485]	
						PG 18:2/18:3 (6z-9z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 18:3 (6z-9z)/18:2	[0.016162232..0.017937839]	[0.016493771..0.017243447]	[0.015605309..0.018069673]	[0.017200403..0.018497579]	[0.015605309..0.018497579]	
PG 37:1:0	0.021933133	0.024340032	0.027827628	0.029413119	[0.021933133..0.029413119]	Sum	[0.13500212..0.19680482]	[0.117419675..0.18668503]	[0.12457633..0.18775906]	[0.12672743..0.19664383]	[0.117419675..0.19680482]	
						PG 21:1/16:0	[0.09004727..0.1486788]	[0.076265246..0.13799553]	[0.080091216..0.13760178]	[0.083708264..0.14575462]	[0.076265246..0.1486788]	
						PG 16:0/21:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 20:1/17:0	[2.507528E-5..1.9651138E-4]	[0.0..2.0956415E-4]	[0.0..4.6113495E-5]	[5.0084573E-6..1.6884912E-4]	[0.0..2.0956415E-4]	
						PG 17:0/20:1	[6.4443477E-4..8.3238445E-4]	[6.2317477E-4..9.613034E-4]	[6.6211895E-4..9.041863E-4]	[5.8384304E-4..9.112346E-4]	[5.8384304E-4..9.613034E-4]	
