PRM,EC,CLASS,PRC,PRDB,PROH,SPECIE,PRERR,PRI:20180509_PC_heart_01.mzXML,PRI:20180509_PC_heart_02.mzXML,PRI:20180509_PC_heart_03.mzXML,FA1M,FA1C,FA1DB,FA1ERR,FA1I:20180509_PC_heart_01.mzXML,FA1I:20180509_PC_heart_02.mzXML,FA1I:20180509_PC_heart_03.mzXML,FA2M,FA2C,FA2DB,FA2ERR,FA2I:20180509_PC_heart_01.mzXML,FA2I:20180509_PC_heart_02.mzXML,FA2I:20180509_PC_heart_03.mzXML,FACO1M,FACO1I:20180509_PC_heart_01.mzXML,FACO1I:20180509_PC_heart_02.mzXML,FACO1I:20180509_PC_heart_03.mzXML,FACO2M,FACO2I:20180509_PC_heart_01.mzXML,FACO2I:20180509_PC_heart_02.mzXML,FACO2I:20180509_PC_heart_03.mzXML
#NCE,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,PCFAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,PCCOCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922.560977457,H81 C53 N1 O10 P1 ,PC,44.0,12.0,0.0,PC 44:12:0,0.67,263106.2,242176.5,372646.1,327.233083089,22.0,6.0,0.39,81484.5,81093.2,117360.3,327.233083089,22.0,6.0,0.39,81484.5,81093.2,117360.3,283.243204753,50452.7,49915.9,75348.6,283.243204753,50452.7,49915.9,75348.6
###,PCCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824.545372802,H79 C45 N1 O10 P1 ,PC,36.0,5.0,0.0,PC 36:5:0,0.8,5552.9,5353.0,8579.0,255.232879639,16.0,0.0,-0.3,2535.1,2344.9,3212.9,301.217386882,20.0,5.0,0.27,1847.7,1682.8,3026.6,None, None, None, None, 257.227478027,0.0,0.0,583.0
824.545372802,H79 C45 N1 O10 P1 ,PC,36.0,5.0,0.0,PC 36:5:0,0.8,5552.9,5353.0,8579.0,253.21719869,16.0,1.0,-0.42,267.6,387.4,526.3,303.233062744,20.0,4.0,0.35,20770.0,19194.1,31175.5,None, None, None, None, 259.243133545,1622.4,1446.7,2422.2
826.560916422,H81 C45 N1 O10 P1 ,PC,36.0,4.0,0.0,PC 36:4:0,0.67,177546.9,158390.1,247927.8,255.232879639,16.0,0.0,-0.3,51439.5,54704.5,73225.8,303.233042399,20.0,4.0,0.29,105200.1,105495.3,142166.6,None, None, None, None, 259.2431132,9430.3,8789.1,12154.7
850.560896077,H81 C47 N1 O10 P1 ,PC,38.0,6.0,0.0,PC 38:6:0,0.63,8252.2,6073.6,11421.8,279.232981364,18.0,2.0,0.09,8857.9,6313.8,11314.4,303.233052572,20.0,4.0,0.32,3899.2,3163.2,5152.5,None, None, None, None, 259.243041992,0.0,0.0,408.4
852.576276936,H83 C47 N1 O10 P1 ,PC,38.0,5.0,0.0,PC 38:5:0,0.31,24286.1,22289.9,36221.7,281.248636882,18.0,1.0,0.11,4115.6,3944.7,5634.3,303.233062744,20.0,4.0,0.35,5560.7,4987.4,7686.3,None, None, None, None, 259.243133545,330.7,387.7,655.0
852.576276936,H83 C47 N1 O10 P1 ,PC,38.0,5.0,0.0,PC 38:5:0,0.31,24286.1,22289.9,36221.7,255.232879639,16.0,0.0,-0.3,6154.1,5604.8,7810.8,329.24876912400003,22.0,5.0,0.5,9837.3,9156.2,13974.6,None, None, None, None, 285.25890096,542.2,801.8,1087.8
854.591861246,H85 C47 N1 O10 P1 ,PC,38.0,4.0,0.0,PC 38:4:0,0.24,51401.7,48194.3,76410.9,283.264333089,18.0,0.0,0.27,16267.4,13777.0,21573.4,303.233052572,20.0,4.0,0.32,28958.5,27779.4,41908.1,None, None, None, None, 259.243133545,2422.4,2156.3,3803.7
880.607669352,H87 C49 N1 O10 P1 ,PC,40.0,5.0,0.0,PC 40:5:0,0.41,0.0,0.0,5715.0,283.264302572,18.0,0.0,0.17,1554.6,1989.2,2380.7,329.24874877900004,22.0,5.0,0.44,2705.5,2548.3,3702.7,None, None, None, None, 285.25894165,0.0,0.0,340.9
922.560977457,H81 C53 N1 O10 P1 ,PC,44.0,12.0,0.0,PC 44:12:0,0.67,263106.2,242176.5,372646.1,327.233083089,22.0,6.0,0.39,81484.5,81093.2,117360.3,327.233083089,22.0,6.0,0.39,81484.5,81093.2,117360.3,None, None, None, None, 283.243204753,50452.7,49915.9,75348.6
#NCE,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,PCFAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666.435468831,H65 C33 N1 O10 P1 ,PC,24.0,0.0,0.0,PC 24:0:0,0.47,476517.5,416244.7,607833.1,199.16955057799998,12.0,0.0,-4.04,420913.3,384785.7,484072.2,199.16955057799998,12.0,0.0,-4.04,420913.3,384785.7,484072.2,None, None, None, None, None, None, None, None
680.450809,H67 C34 N1 O10 P1 ,PC,25.0,0.0,0.0,PC 25:0:0,0.0,440531.8,388332.7,578778.0,199.16955566400003,12.0,0.0,-4.01,126117.3,108336.5,150423.7,213.185373942,13.0,0.0,-2.96,303367.5,269902.5,385399.5,None, None, None, None, None, None, None, None
774.526126383,H77 C41 N1 O10 P1 ,PC,32.0,2.0,0.0,PC 32:2:0,-3.79,0.0,4576.9,5554.4,227.201207479,14.0,0.0,-1.97,1307.9,1071.3,1736.3,279.232981364,18.0,2.0,0.09,37115.8,31802.8,44524.7,None, None, None, None, None, None, None, None
774.526126383,H77 C41 N1 O10 P1 ,PC,32.0,2.0,0.0,PC 32:2:0,-3.79,0.0,4576.9,5554.4,253.21719360400002,16.0,1.0,-0.44,791.0,560.9,906.5,253.21719360400002,16.0,1.0,-0.44,791.0,560.9,906.5,None, None, None, None, None, None, None, None
776.537814615,H79 C41 N1 O10 P1 ,PC,32.0,1.0,0.0,PC 32:1:0,-8.88,56688.9,86129.7,0.0,227.201202393,14.0,0.0,-1.99,519.0,550.3,1051.0,281.248636882,18.0,1.0,0.11,4545.1,3433.5,5202.5,None, None, None, None, None, None, None, None
776.537814615,H79 C41 N1 O10 P1 ,PC,32.0,1.0,0.0,PC 32:1:0,-8.88,56688.9,86129.7,0.0,253.217213949,16.0,1.0,-0.36,13109.0,12222.6,16627.8,255.232894897,16.0,0.0,-0.24,7494.2,7200.0,9774.2,None, None, None, None, None, None, None, None
778.561038492,H81 C41 N1 O10 P1 ,PC,32.0,0.0,0.0,PC 32:0:0,0.87,22992.2,20602.1,36057.6,227.201202393,14.0,0.0,-1.99,289.9,0.0,191.8,283.264312744,18.0,0.0,0.2,0.0,288.3,0.0,None, None, None, None, None, None, None, None
