Species	PRI_20180509_PC_egg_01.mzXML	PRI_20180509_PC_egg_02.mzXML	PRI_20180509_PC_egg_03.mzXML	PRI_Group-1	Mspecies	FAI.FC_20180509_PC_egg_01.mzXML	FAI.FC_20180509_PC_egg_02.mzXML	FAI.FC_20180509_PC_egg_03.mzXML	FAI.FC_Group-1
					PC 18:1/20:4 (5z-8z)	[0.1996635..0.24403806]	[0.20401236..0.24547982]	[0.1670087..0.25986448]	[0.1670087..0.25986448]	
PC 38:6:0	1.1239808	1.1229614	1.1820097	[1.1229614..1.1820097]	Sum	[0.70958555..0.81457925]	[0.7535711..0.87759036]	[0.7870022..0.9211636]	[0.70958555..0.9211636]	
					PC 22:6 (4z)/16:0	[0.0..0.0061672903]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0061672903]	
					PC 16:0/22:6 (4z)	[0.69384295..0.77429867]	[0.7340154..0.8391291]	[0.7714732..0.8789294]	[0.69384295..0.8789294]	
					PC 20:4 (5z-8z)/18:2	[0.004549107..0.026332578]	[0.008216569..0.031742096]	[5.496042E-4..0.029391883]	[5.496042E-4..0.031742096]	
					PC 18:2/20:4 (5z-8z)	[0.0..0.017695492]	[0.0..0.021076752]	[0.0..0.02748141]	[0.0..0.02748141]	
PC 40:4:0	-3.3285432E-5	-4.0588555E-5	0.0	[-4.0588555E-5..0.0]	Sum	[0.057284087..0.07333835]	[0.062200736..0.08873098]	[0.06039053..0.08380858]	[0.057284087..0.08873098]	
					PC 22:4 (7z-10z)/18:0	[0.0..0.0]	[0.0..0.0076291393]	[0.0..0.0]	[0.0..0.0076291393]	
					PC 18:0/22:4 (7z-10z)	[0.05726741..0.073369496]	[0.062166918..0.08116106]	[0.060339466..0.083882935]	[0.05726741..0.083882935]	
PC 40:5:0	0.59946704	0.60465455	0.56285787	[0.56285787..0.60465455]	Sum	[0.32712045..0.39926752]	[0.34899056..0.406466]	[0.3265626..0.38423863]	[0.3265626..0.406466]	
					PC 22:5 (4z-7z)/18:0	[0.0..0.0]	[0.0..0.00442543]	[0.0..0.0]	[0.0..0.00442543]	
					PC 18:0/22:5 (4z-7z)	[0.32698226..0.39943707]	[0.3488008..0.40231183]	[0.32628646..0.3845795]	[0.32628646..0.40231183]	
PC 40:6:0	0.40145376	0.41692564	0.44028205	[0.40145376..0.44028205]	Sum	[0.26628676..0.325385]	[0.24128386..0.2986037]	[0.2315225..0.27692333]	[0.2315225..0.325385]	
					PC 22:5 (4z-7z)/18:1	[0.04214474..0.06785597]	[0.049930897..0.07528746]	[0.04571539..0.06579149]	[0.04214474..0.07528746]	
					PC 18:1/22:5 (4z-7z)	[0.0..0.0075998693]	[0.0..0.012573006]	[0.0..0.0]	[0.0..0.012573006]	
					PC 22:6 (4z)/18:0	[0.0..0.0]	[0.0..0.028730048]	[0.0..0.03784068]	[0.0..0.03784068]	
					PC 18:0/22:6 (4z)	[0.22050937..0.2531974]	[0.16322356..0.22271354]	[0.15573028..0.21140045]	[0.15573028..0.2531974]	
