Species	PRI_20180509_PC_egg_01.mzXML	PRI_20180509_PC_egg_02.mzXML	PRI_20180509_PC_egg_03.mzXML	PRI_Group-1	Mspecies	FAI.FC_20180509_PC_egg_01.mzXML	FAI.FC_20180509_PC_egg_02.mzXML	FAI.FC_20180509_PC_egg_03.mzXML	FAI.FC_Group-1
					PC 22:4 (7z-10z)/16:0	[0.0..0.001906049]	[0.0..0.0]	[0.0..0.013290331]	[0.0..0.013290331]
					PC 16:0/22:4 (7z-10z)	[0.10680267..0.13614635]	[0.10359855..0.12894194]	[0.10442055..0.14932956]	[0.10359855..0.14932956]
					PC 20:2/18:2	[0.023414465..0.032954182]	[0.026476776..0.036690854]	[0.028997272..0.035599664]	[0.023414465..0.036690854]
					PC 18:2/20:2	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 20:3 (5z-11z)/18:1	[0.0..0.0032048097]	[0.0..0.010226662]	[0.0..0.006344226]	[0.0..0.010226662]
					PC 18:1/20:3 (5z-11z)	[0.044114176..0.059348326]	[0.0421774..0.06555553]	[0.044098876..0.06971677]	[0.0421774..0.06971677]
					PC 20:4 (5z-8z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 18:0/20:4 (5z-8z)	[2.6406233..2.7833962]	[2.3746088..2.7759964]	[2.6385174..3.1834066]	[2.3746088..3.1834066]
PC 38:5:0	1.2157713	1.2104702	1.1882092	[1.1882092..1.2157713]	Sum	[1.076654..1.1766044]	[1.0810212..1.2189031]	[1.1342846..1.3068216]	[1.076654..1.3068216]
					PC 22:5 (4z-7z)/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 16:0/22:5 (4z-7z)	[0.8606083..0.931106]	[0.86379004..0.968473]	[0.96586794..1.0192466]	[0.8606083..1.0192466]
					PC 20:4 (5z-8z)/18:1	[0.0..0.0]	[0.0..0.005409305]	[0.0..0.032326654]	[0.0..0.032326654]
					PC 18:1/20:4 (5z-8z)	[0.21171963..0.24597186]	[0.20606601..0.24587749]	[0.16779815..0.26069883]	[0.16779815..0.26069883]
PC 38:6:0	0.75306743	0.747292	0.77546376	[0.747292..0.77546376]	Sum	[0.71206844..0.814372]	[0.756449..0.87747824]	[0.79087037..0.9208992]	[0.71206844..0.9208992]
					PC 22:6 (4z)/16:0	[0.0..0.008477766]	[0.0..0.0]	[0.0..0.0]	[0.0..0.008477766]
					PC 16:0/22:6 (4z)	[0.69619644..0.7717463]	[0.73631096..0.8390136]	[0.77522403..0.8787685]	[0.69619644..0.8787685]
					PC 20:4 (5z-8z)/18:2	[0.0045816456..0.026320253]	[0.008273738..0.03173261]	[5.447124E-4..0.029482098]	[5.447124E-4..0.03173261]
					PC 18:2/20:4 (5z-8z)	[0.0..0.01768721]	[0.0..0.021070452]	[0.0..0.027595244]	[0.0..0.027595244]
PC 40:4:0	-2.230125E-5	-2.7010281E-5	0.0	[-2.7010281E-5..0.0]	Sum	[0.057691902..0.0735207]	[0.062656686..0.088552505]	[0.060472813..0.08362719]	[0.057691902..0.088552505]
					PC 22:4 (7z-10z)/18:0	[0.0..0.0]	[0.0..0.007614065]	[0.0..0.0]	[0.0..0.007614065]
