PRM,EC,CLASS,PRC,PRDB,PROH,SPECIE,PRERR,PRI:240604_eggPEO_25-35_1.mzXML,PRI:240604_eggPEO_25-35_2.mzXML,PRI:240604_eggPEO_25-35_3.mzXML,FA1M,FA1C,FA1DB,FA1ERR,FA1I:240604_eggPEO_25-35_1.mzXML,FA1I:240604_eggPEO_25-35_2.mzXML,FA1I:240604_eggPEO_25-35_3.mzXML,FACO1M,FACO1I:240604_eggPEO_25-35_1.mzXML,FACO1I:240604_eggPEO_25-35_2.mzXML,FACO1I:240604_eggPEO_25-35_3.mzXML
778.5761548658855,C45 H81 O7 N1 P1 ,PE O-,40.0,5.0,0.0,PE O- 40:5:0,0.69,164389.4,170353.6,154873.9,359.29571533203125,24.0,4.0,0.44,3840.2,4380.6,0.0,, None, None, None
778.5761548658855,C45 H81 O7 N1 P1 ,PE O-,40.0,5.0,0.0,PE O- 40:5:0,0.69,164389.4,170353.6,154873.9,331.26429239908856,22.0,4.0,0.11,81455.3,79981.5,78101.1,, None, None, None
778.5761548658855,C45 H81 O7 N1 P1 ,PE O-,40.0,5.0,0.0,PE O- 40:5:0,0.69,164389.4,170353.6,154873.9,329.2486267089844,22.0,5.0,0.07,142993.7,143775.7,143960.9,, None, None, None
###,PEOCO,,,,,,,,,,,,,,,,,,,,
722.5129427890625,C41 H73 O7 N1 P1 ,PE O-,36.0,5.0,0.0,PE O- 36:5:0,-0.1,35919.3,37621.5,36651.0,303.23292032877606,20.0,4.0,-0.12,36452.2,35552.3,34026.7,259.24303181966144,2593.3,2556.9,2258.1
748.528201578125,C43 H75 O7 N1 P1 ,PE O-,38.0,6.0,0.0,PE O- 38:6:0,-0.62,193974.3,190106.9,181416.8,329.24864705403644,22.0,5.0,0.13,112310.0,105025.4,118679.2,285.25880940755206,29683.1,28800.7,27421.5
748.528201578125,C43 H75 O7 N1 P1 ,PE O-,38.0,6.0,0.0,PE O- 38:6:0,-0.62,193974.3,190106.9,181416.8,327.2329508463542,22.0,6.0,-0.01,42261.0,36535.2,39702.7,283.2431335449219,22328.9,17210.8,18655.4
750.5443555494793,C43 H77 O7 N1 P1 ,PE O-,38.0,5.0,0.0,PE O- 38:5:0,0.05,158840.3,164019.3,146842.0,329.2486267089844,22.0,5.0,0.07,117199.9,113767.9,107550.6,285.2587890625,24404.9,28244.4,26687.5
750.5443555494793,C43 H77 O7 N1 P1 ,PE O-,38.0,5.0,0.0,PE O- 38:5:0,0.05,158840.3,164019.3,146842.0,303.23292032877606,20.0,4.0,-0.12,40049.1,39771.1,37866.7,259.2430419921875,2822.3,3198.7,2864.3
776.5602653802084,C45 H79 O7 N1 P1 ,PE O-,40.0,6.0,0.0,PE O- 40:6:0,0.39,180437.9,188770.9,179561.6,329.2486267089844,22.0,5.0,0.07,132090.7,120222.4,124020.6,285.25879923502606,33127.0,34877.2,32450.3
