PRM,EC,CLASS,PRC,PRDB,PROH,SPECIE,PRERR,PRI:20180509_PC_egg_01.mzXML,PRI:20180509_PC_egg_02.mzXML,PRI:20180509_PC_egg_03.mzXML,FA1M,FA1C,FA1DB,FA1ERR,FA1I:20180509_PC_egg_01.mzXML,FA1I:20180509_PC_egg_02.mzXML,FA1I:20180509_PC_egg_03.mzXML,FA2M,FA2C,FA2DB,FA2ERR,FA2I:20180509_PC_egg_01.mzXML,FA2I:20180509_PC_egg_02.mzXML,FA2I:20180509_PC_egg_03.mzXML,FACO1M,FACO1I:20180509_PC_egg_01.mzXML,FACO1I:20180509_PC_egg_02.mzXML,FACO1I:20180509_PC_egg_03.mzXML,FACO2M,FACO2I:20180509_PC_egg_01.mzXML,FACO2I:20180509_PC_egg_02.mzXML,FACO2I:20180509_PC_egg_03.mzXML
#NCE,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,PCFAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
832.608564534,H87 C45 N1 O10 P1 ,PC,36.0,1.0,0.0,PC 36:1:0,1.51,418521.7,342305.8,298618.3,281.248596191,18.0,1.0,-0.03,381757.8,362734.4,281762.5,283.264221191,18.0,0.0,-0.12,122350.3,111123.5,86044.1,None, None, None, None, None, None, None, None
850.560651936,H81 C47 N1 O10 P1 ,PC,38.0,6.0,0.0,PC 38:6:0,0.34,60782.3,49800.5,46449.8,255.232828776,16.0,0.0,-0.5,18884.0,17200.8,14201.2,327.233032227,22.0,6.0,0.24,28399.0,27019.7,20690.4,None, None, None, None, None, None, None, None
850.560651936,H81 C47 N1 O10 P1 ,PC,38.0,6.0,0.0,PC 38:6:0,0.34,60782.3,49800.5,46449.8,279.232930501,18.0,2.0,-0.09,1256.0,1340.0,658.3,303.232971191,20.0,4.0,0.05,1199.5,1264.3,989.8,None, None, None, None, None, None, None, None
852.576724527,H83 C47 N1 O10 P1 ,PC,38.0,5.0,0.0,PC 38:5:0,0.84,98128.5,80667.3,71173.0,255.232828776,16.0,0.0,-0.5,20496.7,17781.9,13762.3,329.248697917,22.0,5.0,0.28,47733.6,44576.4,35214.8,None, None, None, None, None, None, None, None
852.576724527,H83 C47 N1 O10 P1 ,PC,38.0,5.0,0.0,PC 38:5:0,0.84,98128.5,80667.3,71173.0,281.248586019,18.0,1.0,-0.07,5443.4,5080.1,3794.2,303.232981364,20.0,4.0,0.09,15110.7,13721.8,10765.7,None, None, None, None, None, None, None, None
854.592146077,H85 C47 N1 O10 P1 ,PC,38.0,4.0,0.0,PC 38:4:0,0.57,230589.3,190150.3,171536.4,255.232844035,16.0,0.0,-0.44,2886.3,2501.5,2237.0,331.26435343400004,22.0,4.0,0.3,8990.1,7094.4,5888.4,None, None, None, None, None, None, None, None
854.592146077,H85 C47 N1 O10 P1 ,PC,38.0,4.0,0.0,PC 38:4:0,0.57,230589.3,190150.3,171536.4,279.232950846,18.0,2.0,-0.02,2604.8,2588.6,1900.5,307.264312744,20.0,2.0,0.19,0.0,0.0,463.3,None, None, None, None, None, None, None, None
854.592146077,H85 C47 N1 O10 P1 ,PC,38.0,4.0,0.0,PC 38:4:0,0.57,230589.3,190150.3,171536.4,281.248596191,18.0,1.0,-0.03,1388.4,1827.9,1250.7,305.248657227,20.0,3.0,0.17,3919.0,3131.6,2643.3,None, None, None, None, None, None, None, None
854.592146077,H85 C47 N1 O10 P1 ,PC,38.0,4.0,0.0,PC 38:4:0,0.57,230589.3,190150.3,171536.4,283.264272054,18.0,0.0,0.06,61069.7,52857.0,46267.7,303.233001709,20.0,4.0,0.15,174188.5,148610.7,129236.9,None, None, None, None, None, None, None, None
856.600385823,H87 C47 N1 O10 P1 ,PC,38.0,3.0,0.0,PC 38:3:0,-8.08,-1.8,-1.8,-1.8,255.232826233,16.0,0.0,-0.51,0.0,96.5,103.1,333.280059814,22.0,3.0,0.46,393.1,0.0,0.0,None, None, None, None, None, None, None, None
856.600385823,H87 C47 N1 O10 P1 ,PC,38.0,3.0,0.0,PC 38:3:0,-8.08,-1.8,-1.8,-1.8,279.232940674,18.0,2.0,-0.05,3460.3,3866.4,2035.0,309.280029297,20.0,1.0,0.4,846.5,831.9,412.5,None, None, None, None, None, None, None, None
856.600385823,H87 C47 N1 O10 P1 ,PC,38.0,3.0,0.0,PC 38:3:0,-8.08,-1.8,-1.8,-1.8,281.248596191,18.0,1.0,-0.03,3892.0,4033.9,2481.1,307.264322917,20.0,2.0,0.22,1901.2,1638.6,1531.0,None, None, None, None, None, None, None, None
856.600385823,H87 C47 N1 O10 P1 ,PC,38.0,3.0,0.0,PC 38:3:0,-8.08,-1.8,-1.8,-1.8,283.264282227,18.0,0.0,0.09,5287.2,5375.8,3268.9,305.248647054,20.0,3.0,0.14,17813.6,16571.8,12185.0,None, None, None, None, None, None, None, None
858.621829508,H89 C47 N1 O10 P1 ,PC,38.0,2.0,0.0,PC 38:2:0,-1.32,5346.4,4159.0,0.0,281.248596191,18.0,1.0,-0.03,3250.1,4169.7,2125.6,309.279968262,20.0,1.0,0.2,955.8,1036.8,0.0,None, None, None, None, None, None, None, None
858.621829508,H89 C47 N1 O10 P1 ,PC,38.0,2.0,0.0,PC 38:2:0,-1.32,5346.4,4159.0,0.0,283.264282227,18.0,0.0,0.09,1274.3,1437.0,743.6,307.264333089,20.0,2.0,0.25,2848.1,2371.6,1897.3,None, None, None, None, None, None, None, None
878.592166422,H85 C49 N1 O10 P1 ,PC,40.0,6.0,0.0,PC 40:6:0,0.58,21709.7,18489.6,17301.9,281.248575846,18.0,1.0,-0.1,5048.9,3933.3,2917.0,329.248616536,22.0,5.0,0.03,1600.7,1372.4,597.2,None, None, None, None, None, None, None, None
878.592166422,H85 C49 N1 O10 P1 ,PC,40.0,6.0,0.0,PC 40:6:0,0.58,21709.7,18489.6,17301.9,283.264241536,18.0,0.0,-0.05,6287.4,4952.0,3289.7,327.233001709,22.0,6.0,0.14,9581.7,7485.8,5175.8,None, None, None, None, None, None, None, None
880.608116943,H87 C49 N1 O10 P1 ,PC,40.0,5.0,0.0,PC 40:5:0,0.92,32417.8,26814.9,22118.8,281.248596191,18.0,1.0,-0.03,991.1,1041.4,804.8,331.264343262,22.0,4.0,0.27,0.0,0.0,313.6,None, None, None, None, None, None, None, None
880.608116943,H87 C49 N1 O10 P1 ,PC,40.0,5.0,0.0,PC 40:5:0,0.92,32417.8,26814.9,22118.8,283.264261882,18.0,0.0,0.02,7683.5,7652.5,5599.2,329.248677572,22.0,5.0,0.22,20449.5,19165.1,13489.2,None, None, None, None, None, None, None, None
882.620395182,H89 C49 N1 O10 P1 ,PC,40.0,4.0,0.0,PC 40:4:0,-2.91,-1.8,-1.8,0.0,255.232971191,16.0,0.0,0.06,0.0,0.0,315.4,359.29574585,24.0,4.0,0.53,405.1,638.6,466.5,None, None, None, None, None, None, None, None
882.620395182,H89 C49 N1 O10 P1 ,PC,40.0,4.0,0.0,PC 40:4:0,-2.91,-1.8,-1.8,0.0,283.264251709,18.0,0.0,-0.01,1775.1,1652.7,1421.3,331.264333089,22.0,4.0,0.23,4947.5,5187.4,3836.2,None, None, None, None, None, None, None, None
922.560896077,H81 C53 N1 O10 P1 ,PC,44.0,12.0,0.0,PC 44:12:0,0.58,488604.2,401040.1,363218.7,327.232991536,22.0,6.0,0.11,292978.3,264191.0,197462.0,327.232991536,22.0,6.0,0.11,292978.3,264191.0,197462.0,None, None, None, None, None, None, None, None
946.748477457,H105 C53 N1 O10 P1 ,PC,44.0,0.0,0.0,PC 44:0:0,0.34,485503.5,399580.4,357823.0,339.326751709,22.0,0.0,-0.31,621339.2,649943.8,460673.3,339.326751709,22.0,0.0,-0.31,621339.2,649943.8,460673.3,None, None, None, None, None, None, None, None
###,PCCOCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922.560896077,H81 C53 N1 O10 P1 ,PC,44.0,12.0,0.0,PC 44:12:0,0.58,488604.2,401040.1,363218.7,327.232991536,22.0,6.0,0.11,292978.3,264191.0,197462.0,327.232991536,22.0,6.0,0.11,292978.3,264191.0,197462.0,283.243123372,113751.1,107572.7,78962.4,283.243123372,113751.1,107572.7,78962.4
###,PCCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826.560997802,H81 C45 N1 O10 P1 ,PC,36.0,4.0,0.0,PC 36:4:0,0.77,191459.9,159016.0,144319.2,255.23281860400002,16.0,0.0,-0.54,44937.4,39772.8,32023.9,303.232971191,20.0,4.0,0.05,134617.0,117196.0,93843.7,None, None, None, None, 259.243062337,7104.0,5803.7,4742.5
850.560651936,H81 C47 N1 O10 P1 ,PC,38.0,6.0,0.0,PC 38:6:0,0.34,60782.3,49800.5,46449.8,255.232828776,16.0,0.0,-0.5,18884.0,17200.8,14201.2,327.233032227,22.0,6.0,0.24,28399.0,27019.7,20690.4,None, None, None, None, 283.243143717,10034.2,9100.2,6832.0
852.576724527,H83 C47 N1 O10 P1 ,PC,38.0,5.0,0.0,PC 38:5:0,0.84,98128.5,80667.3,71173.0,281.248586019,18.0,1.0,-0.07,5443.4,5080.1,3794.2,303.232981364,20.0,4.0,0.09,15110.7,13721.8,10765.7,None, None, None, None, 259.243052165,707.9,536.6,404.7
852.576724527,H83 C47 N1 O10 P1 ,PC,38.0,5.0,0.0,PC 38:5:0,0.84,98128.5,80667.3,71173.0,255.232828776,16.0,0.0,-0.5,20496.7,17781.9,13762.3,329.248697917,22.0,5.0,0.28,47733.6,44576.4,35214.8,None, None, None, None, 285.258839925,9072.8,8075.6,6087.7
854.592146077,H85 C47 N1 O10 P1 ,PC,38.0,4.0,0.0,PC 38:4:0,0.57,230589.3,190150.3,171536.4,283.264272054,18.0,0.0,0.06,61069.7,52857.0,46267.7,303.233001709,20.0,4.0,0.15,174188.5,148610.7,129236.9,None, None, None, None, 259.243062337,7725.0,6463.5,5975.7
878.592166422,H85 C49 N1 O10 P1 ,PC,40.0,6.0,0.0,PC 40:6:0,0.58,21709.7,18489.6,17301.9,283.264241536,18.0,0.0,-0.05,6287.4,4952.0,3289.7,327.233001709,22.0,6.0,0.14,9581.7,7485.8,5175.8,None, None, None, None, 283.243143717,3257.2,2787.8,1748.2
880.608116943,H87 C49 N1 O10 P1 ,PC,40.0,5.0,0.0,PC 40:5:0,0.92,32417.8,26814.9,22118.8,283.264261882,18.0,0.0,0.02,7683.5,7652.5,5599.2,329.248677572,22.0,5.0,0.22,20449.5,19165.1,13489.2,None, None, None, None, 285.258799235,3560.8,3037.2,2174.6
922.560896077,H81 C53 N1 O10 P1 ,PC,44.0,12.0,0.0,PC 44:12:0,0.58,488604.2,401040.1,363218.7,327.232991536,22.0,6.0,0.11,292978.3,264191.0,197462.0,327.232991536,22.0,6.0,0.11,292978.3,264191.0,197462.0,None, None, None, None, 283.243123372,113751.1,107572.7,78962.4
#NCE,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,PCFAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666.435529866,H65 C33 N1 O10 P1 ,PC,24.0,0.0,0.0,PC 24:0:0,0.56,869290.9,734949.1,693263.2,199.169489543,12.0,0.0,-4.35,777915.7,695804.7,610419.3,199.169489543,12.0,0.0,-4.35,777915.7,695804.7,610419.3,None, None, None, None, None, None, None, None
680.450809,H67 C34 N1 O10 P1 ,PC,25.0,0.0,0.0,PC 25:0:0,0.0,820127.9,693810.9,645902.6,199.169489543,12.0,0.0,-4.35,231893.1,202810.6,164739.5,213.185302734,13.0,0.0,-3.29,613092.4,525826.7,434501.7,None, None, None, None, None, None, None, None
