Species	PRI_240604_eggPE_25-35_1.mzXML	PRI_240604_eggPE_25-35_2.mzXML	PRI_240604_eggPE_25-35_3.mzXML	PRI_Group-1	Mspecies	FAI.FC_240604_eggPE_25-35_1.mzXML	FAI.FC_240604_eggPE_25-35_2.mzXML	FAI.FC_240604_eggPE_25-35_3.mzXML	FAI.FC_Group-1
					PE 22:4 (7z-10z)/16:0	[0.0..0.07420249]	[0.0..0.17036012]	[0.012591777..0.16983604]	[0.0..0.17036012]	
					PE 16:0/22:4 (7z-10z)	[0.18251075..0.31983832]	[0.16110325..0.36874485]	[0.1359912..0.35074836]	[0.1359912..0.36874485]	
					PE 20:3 (5z-11z)/18:1	[0.0..0.011634467]	[0.0..0.008365584]	[0.0..9.6007896E-4]	[0.0..0.011634467]	
					PE 18:1/20:3 (5z-11z)	[0.08414879..0.14017431]	[0.064143956..0.12870128]	[0.065163575..0.12000986]	[0.064143956..0.14017431]	
					PE 20:4 (5z-8z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 18:0/20:4 (5z-8z)	[21.432972..24.639318]	[19.422562..23.203062]	[18.365837..23.436684]	[18.365837..24.639318]	
PE 38:5:0	4.181021	4.206884	4.2987995	[4.181021..4.2987995]	Sum	[4.3390675..4.9750223]	[3.8902397..5.616526]	[4.09486..5.3809223]	[3.8902397..5.616526]	
					PE 22:5 (4z-7z)/16:0	[0.0..0.063410334]	[0.0..0.31135958]	[0.0..0.25181428]	[0.0..0.31135958]	
					PE 16:0/22:5 (4z-7z)	[3.3768392..3.7854345]	[2.9496558..3.991789]	[3.0886161..3.8740659]	[2.9496558..3.991789]	
					PE 20:4 (5z-8z)/18:1	[0.0..0.0]	[0.0..0.024488878]	[0.0..0.0]	[0.0..0.024488878]	
					PE 18:1/20:4 (5z-8z)	[0.96222794..1.189588]	[0.940584..1.2888883]	[1.0062442..1.2550421]	[0.940584..1.2888883]	
PE 38:6:0	2.2777429	2.251058	2.2961624	[2.251058..2.2961624]	Sum	[2.0473106..2.6614933]	[2.489431..3.0738802]	[2.225599..2.9004037]	[2.0473106..3.0738802]	
					PE 22:6 (4z)/16:0	[0.49340186..1.2985002]	[0.8564061..1.5860128]	[0.7413733..1.7131141]	[0.49340186..1.7131141]	
					PE 16:0/22:6 (4z)	[0.9970403..1.9211729]	[1.1459646..1.9371376]	[0.8542391..1.8554085]	[0.8542391..1.9371376]	
					PE 20:4 (5z-8z)/18:2	[0.0..0.06515185]	[0.0023504943..0.03412556]	[0.0..0.049847152]	[0.0..0.06515185]	
					PE 18:2/20:4 (5z-8z)	[0.0..0.06515185]	[0.03220177..0.07247906]	[0.012544178..0.06602272]	[0.0..0.07247906]	
PE 40:4:0	-3.8297553E-6	-4.3995515E-6	-4.584262E-6	[-4.584262E-6..-3.8297553E-6]	Sum	[0.7268103..1.1623718]	[0.74730045..1.2526126]	[0.7653516..1.219796]	[0.7268103..1.2526126]	
					PE 24:4 (9z)/16:0	[0.21743745..0.23231111]	[0.32690337..0.34770903]	[0.27446833..0.3198531]	[0.21743745..0.34770903]	
					PE 16:0/24:4 (9z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 22:4 (7z-10z)/18:0	[0.20222029..0.4068606]	[0.17412297..0.41251028]	[0.22288157..0.43772075]	[0.17412297..0.43772075]	
					PE 18:0/22:4 (7z-10z)	[0.2604261..0.4765876]	[0.19625725..0.4433971]	[0.22411638..0.43909505]	[0.19625725..0.4765876]	
					PE 20:0/20:4 (5z-8z)	[0.033802193..0.050220143]	[0.020214047..0.05100808]	[0.024585366..0.043580815]	[0.020214047..0.05100808]	
					PE 20:4 (5z-8z)/20:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
PE 40:5:0	1.897669	1.798722	1.8205848	[1.798722..1.897669]	Sum	[2.056246..2.7407355]	[1.9153838..3.1031053]	[1.80235..3.2015362]	[1.80235..3.2015362]	
					PE 22:4 (7z-10z)/18:1	[0.061007176..0.07171043]	[0.07342495..0.08639312]	[0.068142965..0.080022596]	[0.061007176..0.08639312]	
					PE 18:1/22:4 (7z-10z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 22:5 (4z-7z)/18:0	[0.0..0.1824664]	[0.0..0.41043547]	[0.0..0.5090205]	[0.0..0.5090205]	
					PE 18:0/22:5 (4z-7z)	[1.9541913..2.4328854]	[1.8104938..2.5492885]	[1.6855408..2.5578918]	[1.6855408..2.5578918]	
					PE 20:1/20:4 (5z-8z)	[0.03733442..0.053673435]	[0.02698457..0.056706768]	[0.04088161..0.05553012]	[0.02698457..0.056706768]	
					PE 20:4 (5z-8z)/20:1	[0.0..0.0]	[0.0..0.006974933]	[0.0..0.0023877954]	[0.0..0.006974933]	
PE 40:6:0	1.2624865	1.1432754	1.2243153	[1.1432754..1.2624865]	Sum	[1.9080602..2.0992815]	[1.7170396..2.423124]	[1.8099582..2.3098772]	[1.7170396..2.423124]	
					PE 22:5 (4z-7z)/18:1	[0.08339975..0.12237875]	[0.09944135..0.2328058]	[0.08272826..0.2426864]	[0.08272826..0.2426864]	
					PE 18:1/22:5 (4z-7z)	[0.06740061..0.103333056]	[0.0..0.07123858]	[0.0..0.12085783]	[0.0..0.12085783]	
					PE 22:6 (4z)/18:0	[0.8205432..1.1056095]	[1.0530564..1.8460842]	[1.0332081..1.4506079]	[0.8205432..1.8460842]	
					PE 18:0/22:6 (4z)	[0.67401767..0.95129615]	[0.1747006..0.72229075]	[0.40142676..0.7414641]	[0.1747006..0.95129615]	
					PE 20:2/20:4 (5z-8z)	[0.018024648..0.045228854]	[0.0..0.049478397]	[0.033446133..0.04624535]	[0.0..0.049478397]	
					PE 20:4 (5z-8z)/20:2	[0.0..0.012890223]	[0.0..0.0]	[0.0..0.0]	[0.0..0.012890223]	
PE 40:7:0	0.07533309	0.0	0.0	[0.0..0.07533309]	Sum	[0.18544725..0.23664789]	[0.21223357..0.27729023]	[0.21521369..0.26065183]	[0.18544725..0.27729023]	
					PE 22:6 (4z)/18:1	[0.18544725..0.23664789]	[0.21223357..0.27729023]	[0.21521369..0.26065183]	[0.18544725..0.27729023]	
					PE 18:1/22:6 (4z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
