PRM,EC,CLASS,PRC,PRDB,PROH,SPECIE,PRERR,PRI:240116_PG_FTMSMS-_1.mzXML,PRI:240116_PG_FTMSMS-_2.mzXML,PRI:240116_PG_FTMSMS-_3.mzXML,PRI:240116_PG_FTMSMS-_4.mzXML,FA1M,FA1C,FA1DB,FA1ERR,FA1I:240116_PG_FTMSMS-_1.mzXML,FA1I:240116_PG_FTMSMS-_2.mzXML,FA1I:240116_PG_FTMSMS-_3.mzXML,FA1I:240116_PG_FTMSMS-_4.mzXML,FA2M,FA2C,FA2DB,FA2ERR,FA2I:240116_PG_FTMSMS-_1.mzXML,FA2I:240116_PG_FTMSMS-_2.mzXML,FA2I:240116_PG_FTMSMS-_3.mzXML,FA2I:240116_PG_FTMSMS-_4.mzXML,FACO2M,FACO2I:240116_PG_FTMSMS-_1.mzXML,FACO2I:240116_PG_FTMSMS-_2.mzXML,FACO2I:240116_PG_FTMSMS-_3.mzXML,FACO2I:240116_PG_FTMSMS-_4.mzXML
#NCE,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,PCFAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
767.487584379,H72 C42 O10 P1 ,PG,36,5,0,PG 36:5:0,0.94,118578.7,119628.2,151266.0,137817.9,227.201385498,14,0,-1.19,3508.7,3819.8,3901.1,3349.9,329.248825073,22,5,0.67,7889.1,8211.6,8957.3,8301.5,None, None, None, None, None
767.487584379,H72 C42 O10 P1 ,PG,36,5,0,PG 36:5:0,0.94,118578.7,119628.2,151266.0,137817.9,251.201599121,16,2,-0.22,0.0,348.0,0.0,0.0,305.248786926,20,3,0.59,947.3,880.1,942.3,1042.3,None, None, None, None, None
767.487584379,H72 C42 O10 P1 ,PG,36,5,0,PG 36:5:0,0.94,118578.7,119628.2,151266.0,137817.9,253.217353821,16,1,0.19,23402.9,25407.6,25982.5,25111.4,303.233123779,20,4,0.56,67291.8,71456.9,71714.3,74648.4,None, None, None, None, None
767.487584379,H72 C42 O10 P1 ,PG,36,5,0,PG 36:5:0,0.94,118578.7,119628.2,151266.0,137817.9,255.233024597,16,0,0.27,9057.7,9059.4,10158.0,10394.4,301.217422485,20,5,0.39,10546.5,10717.0,10673.4,11190.1,None, None, None, None, None
767.487584379,H72 C42 O10 P1 ,PG,36,5,0,PG 36:5:0,0.94,118578.7,119628.2,151266.0,137817.9,277.217414856,18,3,0.40,12123.2,12339.2,12554.9,13555.5,279.233062744,18,2,0.39,37240.7,40378.5,39719.2,42956.1,None, None, None, None, None
769.503133085,H74 C42 O10 P1 ,PG,36,4,0,PG 36:4:0,0.81,5483116.4,5709578.4,5896755.4,5762518.6,255.233013153,16,0,0.23,1586583.9,1618557.5,1531899.5,1650791.9,303.233139038,20,4,0.61,4574929.6,4590632.3,4581971.2,5016900.1,None, None, None, None, None
769.503133085,H74 C42 O10 P1 ,PG,36,4,0,PG 36:4:0,0.81,5483116.4,5709578.4,5896755.4,5762518.6,277.217376709,18,3,0.26,44545.2,39560.5,42548.2,34886.5,281.248710632,18,1,0.37,47570.7,48291.7,38381.2,51798.0,None, None, None, None, None
769.503133085,H74 C42 O10 P1 ,PG,36,4,0,PG 36:4:0,0.81,5483116.4,5709578.4,5896755.4,5762518.6,279.233062744,18,2,0.39,578009.4,587104.2,538264.2,609404.3,279.233062744,18,2,0.39,578009.4,587104.2,538264.2,609404.3,None, None, None, None, None
771.518651273,H76 C42 O10 P1 ,PG,36,3,0,PG 36:3:0,0.64,3972700.0,4239659.0,4373094.8,4176356.2,255.233013153,16,0,0.23,366999.2,419229.0,392906.8,423772.4,305.248718262,20,3,0.37,1119850.0,1240570.9,1300057.9,1307573.0,None, None, None, None, None
771.518651273,H76 C42 O10 P1 ,PG,36,3,0,PG 36:3:0,0.64,3972700.0,4239659.0,4373094.8,4176356.2,277.217399597,18,3,0.34,102103.5,129194.1,122762.1,127613.6,283.264404297,18,0,0.53,45079.7,39656.9,41959.6,48951.6,None, None, None, None, None
771.518651273,H76 C42 O10 P1 ,PG,36,3,0,PG 36:3:0,0.64,3972700.0,4239659.0,4373094.8,4176356.2,279.233062744,18,2,0.39,2569898.8,2827049.3,2863535.9,2940040.8,281.248718262,18,1,0.40,1223852.8,1407204.7,1430619.9,1459601.5,None, None, None, None, None
773.53432205,H78 C42 O10 P1 ,PG,36,2,0,PG 36:2:0,0.66,17928062.1,19192645.4,19582415.3,19134689.7,255.232978821,16,0,0.09,89322.3,146449.6,115033.6,128455.9,307.264373779,20,2,0.39,419259.4,436126.9,436457.9,410584.7,None, None, None, None, None
773.53432205,H78 C42 O10 P1 ,PG,36,2,0,PG 36:2:0,0.66,17928062.1,19192645.4,19582415.3,19134689.7,279.233062744,18,2,0.39,13521011.0,15595028.4,14983890.4,15862323.3,283.264381409,18,0,0.44,4571843.5,5469652.1,4869328.5,5488971.1,None, None, None, None, None
773.53432205,H78 C42 O10 P1 ,PG,36,2,0,PG 36:2:0,0.66,17928062.1,19192645.4,19582415.3,19134689.7,281.248733521,18,1,0.46,5707680.9,6368075.8,6364299.2,6775101.9,281.248733521,18,1,0.46,5707680.9,6368075.8,6364299.2,6775101.9,None, None, None, None, None
783.518788603,H76 C43 O10 P1 ,PG,37,4,0,PG 37:4:0,0.80,51022.5,72947.6,80435.3,63627.7,241.217208862,15,0,-0.40,0.0,468.0,407.2,0.0,331.264480591,22,4,0.68,29883.4,34039.7,32950.9,34661.2,None, None, None, None, None
783.518788603,H76 C43 O10 P1 ,PG,37,4,0,PG 37:4:0,0.80,51022.5,72947.6,80435.3,63627.7,255.233013153,16,0,0.23,10548.3,11079.4,10604.7,11066.4,317.248626709,21,4,0.07,8283.2,9910.7,8688.5,10115.3,None, None, None, None, None
783.518788603,H76 C43 O10 P1 ,PG,37,4,0,PG 37:4:0,0.80,51022.5,72947.6,80435.3,63627.7,267.233133952,17,1,0.67,528.6,0.0,353.3,586.0,305.24874115,20,3,0.45,3049.7,3726.1,3592.9,4043.5,None, None, None, None, None
783.518788603,H76 C43 O10 P1 ,PG,37,4,0,PG 37:4:0,0.80,51022.5,72947.6,80435.3,63627.7,269.248817444,17,0,0.79,14904.9,17235.6,16185.8,18423.9,303.233108521,20,4,0.51,67046.2,74380.1,72434.1,73777.5,None, None, None, None, None
783.518788603,H76 C43 O10 P1 ,PG,37,4,0,PG 37:4:0,0.80,51022.5,72947.6,80435.3,63627.7,279.233055115,18,2,0.36,3650.3,3888.5,4124.7,4176.4,293.248891195,19,2,0.97,577.3,0.0,364.3,412.2,None, None, None, None, None
783.518788603,H76 C43 O10 P1 ,PG,37,4,0,PG 37:4:0,0.80,51022.5,72947.6,80435.3,63627.7,281.248725891,18,1,0.43,10099.8,10034.0,10134.7,11823.3,291.233161926,19,3,0.71,678.4,631.5,600.9,639.4,None, None, None, None, None
783.518788603,H76 C43 O10 P1 ,PG,37,4,0,PG 37:4:0,0.80,51022.5,72947.6,80435.3,63627.7,283.264427185,18,0,0.61,2527.5,3043.8,3365.1,2498.7,289.217575073,19,4,0.93,2260.7,2628.7,2366.9,3022.6,None, None, None, None, None
787.549824979,H80 C43 O10 P1 ,PG,37,2,0,PG 37:2:0,0.46,76932.2,101600.9,90323.9,95563.9,241.217163086,15,0,-0.59,0.0,0.0,801.4,0.0,335.295806885,22,2,0.75,0.0,448.4,0.0,0.0,None, None, None, None, None
787.549824979,H80 C43 O10 P1 ,PG,37,2,0,PG 37:2:0,0.46,76932.2,101600.9,90323.9,95563.9,269.248825073,17,0,0.82,0.0,1189.3,762.8,0.0,307.264424642,20,2,0.55,3049.6,3955.4,3132.1,0.0,None, None, None, None, None
787.549824979,H80 C43 O10 P1 ,PG,37,2,0,PG 37:2:0,0.46,76932.2,101600.9,90323.9,95563.9,279.233070374,18,2,0.41,72056.5,74910.6,73281.0,75637.5,297.27999115,19,0,0.29,21186.0,20327.3,22024.0,22833.1,None, None, None, None, None
787.549824979,H80 C43 O10 P1 ,PG,37,2,0,PG 37:2:0,0.46,76932.2,101600.9,90323.9,95563.9,281.248725891,18,1,0.43,86764.3,85255.4,83750.7,93073.4,295.264289856,19,1,0.12,11406.0,12254.1,12522.2,11483.4,None, None, None, None, None
787.549824979,H80 C43 O10 P1 ,PG,37,2,0,PG 37:2:0,0.46,76932.2,101600.9,90323.9,95563.9,283.264427185,18,0,0.61,5614.7,6080.1,6685.4,7984.7,293.248931885,19,2,1.11,5567.9,6688.4,5918.2,7216.8,None, None, None, None, None
789.565739896,H82 C43 O10 P1 ,PG,37,1,0,PG 37:1:0,0.80,52180.7,63775.5,69909.4,73009.9,255.232952118,16,0,-0.01,239824.2,225865.4,224621.1,247984.4,323.295715332,21,1,0.49,566.7,0.0,0.0,0.0,None, None, None, None, None
789.565739896,H82 C43 O10 P1 ,PG,37,1,0,PG 37:1:0,0.80,52180.7,63775.5,69909.4,73009.9,269.248921712,17,0,1.18,698.8,881.5,0.0,733.2,309.280105591,20,1,0.65,1605.2,1546.9,2058.8,1450.6,None, None, None, None, None
789.565739896,H82 C43 O10 P1 ,PG,37,1,0,PG 37:1:0,0.80,52180.7,63775.5,69909.4,73009.9,281.24874115,18,1,0.48,62316.1,62759.3,66039.6,67823.2,297.279983521,19,0,0.26,18324.5,17972.7,17313.0,18996.5,None, None, None, None, None
789.565739896,H82 C43 O10 P1 ,PG,37,1,0,PG 37:1:0,0.80,52180.7,63775.5,69909.4,73009.9,283.264404297,18,0,0.53,18130.2,19746.5,20040.7,18309.3,295.264312744,19,1,0.19,23053.4,23087.6,23658.7,24581.4,None, None, None, None, None
793.503300932,H74 C44 O10 P1 ,PG,38,6,0,PG 38:6:0,1.00,1485579.4,1572024.8,1592653.2,1558387.1,253.217342377,16,1,0.15,26169.4,31102.7,26173.1,20432.6,329.248825073,22,5,0.67,15872.9,16498.0,17950.6,20006.7,None, None, None, None, None
793.503300932,H74 C44 O10 P1 ,PG,38,6,0,PG 38:6:0,1.00,1485579.4,1572024.8,1592653.2,1558387.1,255.233001709,16,0,0.18,435182.9,484440.6,465417.9,485495.0,327.233131409,22,6,0.54,769779.0,850494.7,852345.2,853363.5,None, None, None, None, None
793.503300932,H74 C44 O10 P1 ,PG,38,6,0,PG 38:6:0,1.00,1485579.4,1572024.8,1592653.2,1558387.1,279.233039856,18,2,0.30,12480.5,12276.6,12691.3,15721.6,303.233070374,20,4,0.38,28842.5,31320.2,31171.9,32174.4,None, None, None, None, None
