PRM,EC,CLASS,PRC,PRDB,PROH,SPECIE,PRERR,PRI:240116_PG_FTMSMS-_1.mzXML,PRI:240116_PG_FTMSMS-_2.mzXML,PRI:240116_PG_FTMSMS-_3.mzXML,PRI:240116_PG_FTMSMS-_4.mzXML,FA1M,FA1C,FA1DB,FA1ERR,FA1I:240116_PG_FTMSMS-_1.mzXML,FA1I:240116_PG_FTMSMS-_2.mzXML,FA1I:240116_PG_FTMSMS-_3.mzXML,FA1I:240116_PG_FTMSMS-_4.mzXML,FA2M,FA2C,FA2DB,FA2ERR,FA2I:240116_PG_FTMSMS-_1.mzXML,FA2I:240116_PG_FTMSMS-_2.mzXML,FA2I:240116_PG_FTMSMS-_3.mzXML,FA2I:240116_PG_FTMSMS-_4.mzXML,FACO2M,FACO2I:240116_PG_FTMSMS-_1.mzXML,FACO2I:240116_PG_FTMSMS-_2.mzXML,FACO2I:240116_PG_FTMSMS-_3.mzXML,FACO2I:240116_PG_FTMSMS-_4.mzXML
#NCE,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,PGFAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809.5345458984375,C45 H78 O10 P1 ,PG,39.0,5.0,0.0,PG 39:5:0,0.91,30500.1,0.0,0.0,0.0,303.2330627441406,20.0,4.0,0.35,6819.0,7664.1,8087.3,8316.2,295.2643508911133,19.0,1.0,0.32,1535.6,1634.1,1757.5,1554.3,, None, None, None, None
809.5345458984375,C45 H78 O10 P1 ,PG,39.0,5.0,0.0,PG 39:5:0,0.91,30500.1,0.0,0.0,0.0,295.2643508911133,19.0,1.0,0.32,1535.6,1634.1,1757.5,1554.3,303.2330627441406,20.0,4.0,0.35,6819.0,7664.1,8087.3,8316.2,, None, None, None, None
809.5345458984375,C45 H78 O10 P1 ,PG,39.0,5.0,0.0,PG 39:5:0,0.91,30500.1,0.0,0.0,0.0,281.2487258911133,18.0,1.0,0.43,73565.2,78602.5,80212.2,80651.8,317.24866739908856,21.0,4.0,0.2,547.8,1251.3,0.0,810.1,, None, None, None, None
809.5345458984375,C45 H78 O10 P1 ,PG,39.0,5.0,0.0,PG 39:5:0,0.91,30500.1,0.0,0.0,0.0,269.2488250732422,17.0,0.0,0.82,6839.5,7121.4,8103.9,8131.2,329.24881744384766,22.0,5.0,0.64,47941.2,52994.9,51687.4,53636.5,, None, None, None, None
809.5345458984375,C45 H78 O10 P1 ,PG,39.0,5.0,0.0,PG 39:5:0,0.91,30500.1,0.0,0.0,0.0,267.23314666748047,17.0,1.0,0.72,1615.9,1427.2,1268.8,1581.9,331.2644729614258,22.0,4.0,0.66,14019.9,16052.2,14184.0,15603.5,, None, None, None, None
809.5345458984375,C45 H78 O10 P1 ,PG,39.0,5.0,0.0,PG 39:5:0,0.91,30500.1,0.0,0.0,0.0,255.23301696777344,16.0,0.0,0.24,74670.6,68836.4,77180.5,58061.2,343.26434326171875,23.0,5.0,0.26,0.0,641.5,0.0,0.0,, None, None, None, None
809.5345458984375,C45 H78 O10 P1 ,PG,39.0,5.0,0.0,PG 39:5:0,0.91,30500.1,0.0,0.0,0.0,241.2172393798828,15.0,0.0,-0.27,728.1,0.0,0.0,506.8,357.2801055908203,24.0,5.0,0.56,974.3,1137.2,1491.0,916.2,, None, None, None, None
811.5498046875,C45 H80 O10 P1 ,PG,39.0,4.0,0.0,PG 39:4:0,0.42,0.0,0.0,0.0,35958.8,345.2799987792969,23.0,4.0,0.27,0.0,0.0,0.0,1649.1,255.2330017089844,16.0,0.0,0.18,127035.6,133793.4,133670.2,90413.7,, None, None, None, None
811.5498046875,C45 H80 O10 P1 ,PG,39.0,4.0,0.0,PG 39:4:0,0.42,0.0,0.0,0.0,35958.8,331.26448822021484,22.0,4.0,0.7,42864.5,45869.9,39780.8,48177.0,269.24891662597656,17.0,0.0,1.16,1637.9,0.0,0.0,1806.8,, None, None, None, None
811.5498046875,C45 H80 O10 P1 ,PG,39.0,4.0,0.0,PG 39:4:0,0.42,0.0,0.0,0.0,35958.8,317.2486114501953,21.0,4.0,0.02,3205.4,3538.6,4248.2,3955.5,283.2643737792969,18.0,0.0,0.42,5716.4,6619.3,5610.1,6348.1,, None, None, None, None
811.5498046875,C45 H80 O10 P1 ,PG,39.0,4.0,0.0,PG 39:4:0,0.42,0.0,0.0,0.0,35958.8,303.23303985595703,20.0,4.0,0.28,20585.4,23198.7,22518.7,21429.6,297.2799987792969,19.0,0.0,0.31,9584.5,11163.5,12391.5,10423.5,, None, None, None, None
