Species	PRI_20180509_PC_brain_01.mzXML	PRI_20180509_PC_brain_02.mzXML	PRI_20180509_PC_brain_03.mzXML	PRI_Group-1	Mspecies	FAI.FC_20180509_PC_brain_01.mzXML	FAI.FC_20180509_PC_brain_02.mzXML	FAI.FC_20180509_PC_brain_03.mzXML	FAI.FC_Group-1
					PC 18:1/20:3 (5z-11z)	[0.03081064..0.06504076]	[0.028364183..0.052747276]	[0.02376544..0.05391201]	[0.02376544..0.06504076]	
					PC 20:4 (5z-8z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 18:0/20:4 (5z-8z)	[1.9643294..2.0188956]	[2.0429614..2.0959861]	[1.9796493..2.0785372]	[1.9643294..2.0959861]	
PC 38:5:0	0.8320068	0.8161626	0.8381183	[0.8161626..0.8381183]	Sum	[0.7374762..0.95180225]	[0.6547117..1.0749035]	[0.68702877..0.9904011]	[0.6547117..1.0749035]	
					PC 22:5 (4z-7z)/16:0	[0.0973832..0.18094236]	[0.037759546..0.22385523]	[0.09194013..0.1863987]	[0.037759546..0.22385523]	
					PC 16:0/22:5 (4z-7z)	[0.2643258..0.37304202]	[0.24055798..0.4709749]	[0.2664993..0.3933967]	[0.24055798..0.4709749]	
					PC 20:4 (5z-8z)/18:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 18:1/20:4 (5z-8z)	[0.35621262..0.40189782]	[0.3492041..0.41077366]	[0.3269556..0.41356072]	[0.3269556..0.41356072]	
PC 38:6:0	0.8849871	0.90746295	0.8723868	[0.8723868..0.90746295]	Sum	[0.8838225..0.9350827]	[0.89965826..1.0466194]	[0.87740093..1.0243666]	[0.87740093..1.0466194]	
					PC 22:6 (4z)/16:0	[0.08711563..0.18273127]	[0.07962725..0.16739662]	[0.12373926..0.23398077]	[0.07962725..0.23398077]	
					PC 16:0/22:6 (4z)	[0.70572454..0.83151954]	[0.7660692..0.9376264]	[0.6827915..0.8646243]	[0.6827915..0.9376264]	
PC 40:2:0	0.094274394	0.084695846	0.09467582	[0.084695846..0.09467582]	Sum	[0.08561006..0.089730546]	[0.08850277..0.097123705]	[0.08324519..0.09846281]	[0.08324519..0.09846281]	
					PC 22:1/18:1	[0.026475394..0.030561667]	[0.027883217..0.0338807]	[0.023090437..0.03679499]	[0.023090437..0.03679499]	
					PC 18:1/22:1	[0.023140317..0.026943255]	[0.024778692..0.030665306]	[0.017367167..0.030208234]	[0.017367167..0.030665306]	
					PC 22:2/18:0	[0.0..0.002038639]	[0.0..0.0014319137]	[0.0..0.002957985]	[0.0..0.002957985]	
					PC 18:0/22:2	[0.017322743..0.024861453]	[0.02068169..0.025569886]	[0.018090865..0.03049469]	[0.017322743..0.03049469]	
					PC 20:1/20:1	[0.011330635..0.012394509]	[0.01049303..0.01214039]	[0.011452129..0.015243316]	[0.01049303..0.015243316]	
PC 40:3:0	0.0	0.0	-1.9896612E-5	[-1.9896612E-5..0.0]	Sum	[0.042207837..0.048109382]	[0.045790568..0.05467271]	[0.04405281..0.0515215]	[0.042207837..0.05467271]	
					PC 22:2/18:1	[0.0019124221..0.010108996]	[0.001946148..0.007988979]	[0.0034221876..0.01218541]	[0.0019124221..0.01218541]	
					PC 18:1/22:2	[0.0..0.0055700573]	[0.0023497937..0.008652751]	[0.0..0.00772555]	[0.0..0.008652751]	
					PC 22:3 (13z)/18:0	[0.0..3.1378085E-4]	[0.0..0.011575351]	[0.0..0.005392235]	[0.0..0.011575351]	
					PC 18:0/22:3 (13z)	[0.033973653..0.039566062]	[0.028999932..0.04418073]	[0.030503524..0.038793053]	[0.028999932..0.04418073]	
PC 40:4:0	0.34008825	0.31778038	0.3520772	[0.31778038..0.3520772]	Sum	[0.31199944..0.36798364]	[0.29631957..0.39893574]	[0.31939813..0.39332154]	[0.29631957..0.39893574]	
					PC 24:4 (9z)/16:0	[0.002951244..0.015251833]	[0.001560831..0.009797558]	[0.0..0.00816138]	[0.0..0.015251833]	
					PC 16:0/24:4 (9z)	[0.019375557..0.034971375]	[0.028020632..0.038154714]	[0.026767587..0.04272974]	[0.019375557..0.04272974]	
					PC 22:4 (7z-10z)/18:0	[0.0..0.0]	[0.0..0.021158934]	[0.0..0.0]	[0.0..0.021158934]	
					PC 18:0/22:4 (7z-10z)	[0.27240068..0.3347881]	[0.25685003..0.3412731]	[0.28495017..0.35389557]	[0.25685003..0.35389557]	
PC 40:5:0	0.287234	0.2983867	0.30272475	[0.287234..0.30272475]	Sum	[0.2718662..0.33916524]	[0.26481757..0.33573753]	[0.25699013..0.36676]	[0.25699013..0.36676]	
					PC 22:4 (7z-10z)/18:1	[0.006926977..0.025924418]	[0.012157205..0.030982712]	[0.015661417..0.04345396]	[0.006926977..0.04345396]	
					PC 18:1/22:4 (7z-10z)	[0.023445155..0.050334558]	[0.020292478..0.04090164]	[0.012032552..0.03903885]	[0.012032552..0.050334558]	
					PC 22:5 (4z-7z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 18:0/22:5 (4z-7z)	[0.21465819..0.23430967]	[0.20214354..0.24168599]	[0.2031375..0.25689298]	[0.20214354..0.25689298]	
					PC 20:1/20:4 (5z-8z)	[0.019326037..0.03071509]	[0.020483077..0.032197867]	[0.022657592..0.029617088]	[0.019326037..0.032197867]	
					PC 20:4 (5z-8z)/20:1	[0.0..0.0043615424]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0043615424]	
PC 40:6:0	0.62575275	0.6274035	0.6559637	[0.62575275..0.6559637]	Sum	[0.57344574..0.6697506]	[0.7029143..0.7678094]	[0.61797285..0.7405135]	[0.57344574..0.7678094]	
					PC 22:5 (4z-7z)/18:1	[0.091339126..0.11622454]	[0.08954799..0.11440265]	[0.09820838..0.11740687]	[0.08954799..0.11740687]	
					PC 18:1/22:5 (4z-7z)	[0.0..0.0]	[0.0..0.0025168583]	[0.0..0.0]	[0.0..0.0025168583]	
					PC 22:6 (4z)/18:0	[0.0..0.029941572]	[0.0..0.0]	[0.0..0.036756426]	[0.0..0.036756426]	
					PC 18:0/22:6 (4z)	[0.45493022..0.5544736]	[0.6052437..0.66010004]	[0.49651778..0.6229902]	[0.45493022..0.66010004]	
PC 40:7:0	0.12796359	0.14418367	0.14134663	[0.12796359..0.14418367]	Sum	[0.11829954..0.1546665]	[0.1240288..0.1585213]	[0.11590846..0.1626649]	[0.11590846..0.1626649]	
					PC 22:6 (4z)/18:1	[0.03045674..0.0945784]	[0.041944418..0.103365004]	[0.023049729..0.10907339]	[0.023049729..0.10907339]	
					PC 18:1/22:6 (4z)	[0.045205474..0.11325118]	[0.042448252..0.10398862]	[0.03716181..0.12820907]	[0.03716181..0.12820907]	
PC 44:0:0	6.4676075	6.652704	6.827158	[6.4676075..6.827158]	Sum	[6.8460717..7.1092925]	[7.0347004..7.458844]	[6.6035843..7.1204796]	[6.6035843..7.458844]	
					PC 22:0/22:0	[6.863118..7.098156]	[7.059023..7.4366918]	[6.6232867..7.1035466]	[6.6232867..7.4366918]	
PC 44:12:0	6.4578176	6.4055867	6.4661064	[6.4055867..6.4661064]	Sum	[5.83784..6.4452605]	[5.8177853..7.079412]	[6.106277..6.540601]	[5.8177853..7.079412]	
					PC 22:6 (4z)/22:6 (4z)	[5.849628..6.4331374]	[5.839972..7.058361]	[6.1233454..6.5250473]	[5.839972..7.058361]	
