PRM,EC,CLASS,PRC,PRDB,PROH,SPECIE,PRERR,PRI:20180509_PC_brain_01.mzXML,PRI:20180509_PC_brain_02.mzXML,PRI:20180509_PC_brain_03.mzXML,FA1M,FA1C,FA1DB,FA1ERR,FA1I:20180509_PC_brain_01.mzXML,FA1I:20180509_PC_brain_02.mzXML,FA1I:20180509_PC_brain_03.mzXML,FA2M,FA2C,FA2DB,FA2ERR,FA2I:20180509_PC_brain_01.mzXML,FA2I:20180509_PC_brain_02.mzXML,FA2I:20180509_PC_brain_03.mzXML,FACO1M,FACO1I:20180509_PC_brain_01.mzXML,FACO1I:20180509_PC_brain_02.mzXML,FACO1I:20180509_PC_brain_03.mzXML,FACO2M,FACO2I:20180509_PC_brain_01.mzXML,FACO2I:20180509_PC_brain_02.mzXML,FACO2I:20180509_PC_brain_03.mzXML
#NCE,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,PCFAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
858.623477457,H89 C47 N1 O10 P1 ,PC,38.0,2.0,0.0,PC 38:2:0,0.6,40697.2,34885.3,43763.3,283.264302572,18.0,0.0,0.17,2481.8,2219.2,3167.4,307.26439412400003,20.0,2.0,0.45,7802.1,6983.1,7799.2,None, None, None, None, None, None, None, None
860.639651773,H91 C47 N1 O10 P1 ,PC,38.0,1.0,0.0,PC 38:1:0,1.21,38280.9,30845.7,41577.0,255.232849121,16.0,0.0,-0.42,2555.4,2223.6,2174.2,337.311421712,22.0,1.0,0.64,3897.7,3364.1,4271.9,None, None, None, None, None, None, None, None
860.639651773,H91 C47 N1 O10 P1 ,PC,38.0,1.0,0.0,PC 38:1:0,1.21,38280.9,30845.7,41577.0,281.248626709,18.0,1.0,0.08,6278.0,6085.4,7068.7,311.29566446900003,20.0,0.0,0.35,3136.0,2548.3,2780.9,None, None, None, None, None, None, None, None
860.639651773,H91 C47 N1 O10 P1 ,PC,38.0,1.0,0.0,PC 38:1:0,1.21,38280.9,30845.7,41577.0,283.264312744,18.0,0.0,0.2,9000.2,7638.7,8632.4,309.28003946900003,20.0,1.0,0.43,29556.2,23230.9,25662.5,None, None, None, None, None, None, None, None
876.576602457,H83 C49 N1 O10 P1 ,PC,40.0,7.0,0.0,PC 40:7:0,0.68,10957.5,10437.4,12787.3,281.248636882,18.0,1.0,0.11,7611.0,6328.9,6627.3,327.233093262,22.0,6.0,0.42,5096.4,3838.9,4896.4,None, None, None, None, None, None, None, None
878.592105387,H85 C49 N1 O10 P1 ,PC,40.0,6.0,0.0,PC 40:6:0,0.51,53583.1,45417.5,59343.5,281.248636882,18.0,1.0,0.11,8408.5,7769.1,8390.1,329.248738607,22.0,5.0,0.4,2024.0,2094.5,2089.3,None, None, None, None, None, None, None, None
878.592105387,H85 C49 N1 O10 P1 ,PC,40.0,6.0,0.0,PC 40:6:0,0.51,53583.1,45417.5,59343.5,283.264302572,18.0,0.0,0.17,15397.2,14505.9,15120.0,327.233072917,22.0,6.0,0.36,23461.2,22246.6,23258.4,None, None, None, None, None, None, None, None
880.608666259,H87 C49 N1 O10 P1 ,PC,40.0,5.0,0.0,PC 40:5:0,1.54,24595.8,21600.1,27386.8,255.232828776,16.0,0.0,-0.5,844.3,881.3,898.1,357.280151367,24.0,5.0,0.69,423.9,641.7,893.8,None, None, None, None, None, None, None, None
880.608666259,H87 C49 N1 O10 P1 ,PC,40.0,5.0,0.0,PC 40:5:0,1.54,24595.8,21600.1,27386.8,281.248647054,18.0,1.0,0.15,3192.3,2069.7,2291.2,331.26441446900003,22.0,4.0,0.48,3374.7,2788.0,2780.8,None, None, None, None, None, None, None, None
880.608666259,H87 C49 N1 O10 P1 ,PC,40.0,5.0,0.0,PC 40:5:0,1.54,24595.8,21600.1,27386.8,283.264302572,18.0,0.0,0.17,6182.6,4752.5,5336.1,329.24874877900004,22.0,5.0,0.44,13533.1,11588.0,12726.7,None, None, None, None, None, None, None, None
880.608666259,H87 C49 N1 O10 P1 ,PC,40.0,5.0,0.0,PC 40:5:0,1.54,24595.8,21600.1,27386.8,303.233032227,20.0,4.0,0.25,2158.1,2248.5,1936.2,309.280044556,20.0,1.0,0.45,925.9,0.0,655.4,None, None, None, None, None, None, None, None
882.623965738,H89 C49 N1 O10 P1 ,PC,40.0,4.0,0.0,PC 40:4:0,1.14,29121.7,23004.0,31851.6,255.232874552,16.0,0.0,-0.32,1258.5,1113.3,936.1,359.29579671199997,24.0,4.0,0.67,2608.5,2521.9,2611.5,None, None, None, None, None, None, None, None
882.623965738,H89 C49 N1 O10 P1 ,PC,40.0,4.0,0.0,PC 40:4:0,1.14,29121.7,23004.0,31851.6,281.248672485,18.0,1.0,0.24,163.7,0.0,354.6,333.27999877900004,22.0,3.0,0.28,0.0,344.2,0.0,None, None, None, None, None, None, None, None
882.623965738,H89 C49 N1 O10 P1 ,PC,40.0,4.0,0.0,PC 40:4:0,1.14,29121.7,23004.0,31851.6,283.264312744,18.0,0.0,0.2,8521.6,7204.6,6870.6,331.264404297,22.0,4.0,0.45,26925.3,21264.1,21925.5,None, None, None, None, None, None, None, None
884.634768961,H91 C49 N1 O10 P1 ,PC,40.0,3.0,0.0,PC 40:3:0,-4.34,0.0,0.0,-1.8,255.232838949,16.0,0.0,-0.46,380.6,293.9,326.1,361.31150309199995,24.0,3.0,0.82,729.0,719.1,442.1,None, None, None, None, None, None, None, None
884.634768961,H91 C49 N1 O10 P1 ,PC,40.0,3.0,0.0,PC 40:3:0,-4.34,0.0,0.0,-1.8,281.248626709,18.0,1.0,0.08,527.5,549.3,544.0,335.29576110799997,22.0,2.0,0.61,0.0,380.7,688.0,None, None, None, None, None, None, None, None
884.634768961,H91 C49 N1 O10 P1 ,PC,40.0,3.0,0.0,PC 40:3:0,-4.34,0.0,0.0,-1.8,283.264333089,18.0,0.0,0.27,857.4,806.1,850.3,333.280049642,22.0,3.0,0.43,3506.1,3166.0,2950.9,None, None, None, None, None, None, None, None
886.654646077,H93 C49 N1 O10 P1 ,PC,40.0,2.0,0.0,PC 40:2:0,0.44,8072.7,6131.1,8565.1,281.248606364,18.0,1.0,0.0,3295.5,2928.1,3073.4,337.311421712,22.0,1.0,0.64,2803.9,2741.8,2952.2,None, None, None, None, None, None, None, None
886.654646077,H93 C49 N1 O10 P1 ,PC,40.0,2.0,0.0,PC 40:2:0,0.44,8072.7,6131.1,8565.1,283.264302572,18.0,0.0,0.17,559.8,338.6,944.8,335.29574585,22.0,2.0,0.57,2213.9,2014.6,2128.4,None, None, None, None, None, None, None, None
886.654646077,H93 C49 N1 O10 P1 ,PC,40.0,2.0,0.0,PC 40:2:0,0.44,8072.7,6131.1,8565.1,309.280008952,20.0,1.0,0.33,1394.5,1188.2,1240.7,309.280008952,20.0,1.0,0.33,1394.5,1188.2,1240.7,None, None, None, None, None, None, None, None
922.560936767,H81 C53 N1 O10 P1 ,PC,44.0,12.0,0.0,PC 44:12:0,0.63,552981.8,463698.0,584973.5,327.233062744,22.0,6.0,0.33,346136.5,307111.3,308817.6,327.233062744,22.0,6.0,0.33,346136.5,307111.3,308817.6,None, None, None, None, None, None, None, None
946.748497802,H105 C53 N1 O10 P1 ,PC,44.0,0.0,0.0,PC 44:0:0,0.36,553820.1,481586.7,617637.0,339.326802572,22.0,0.0,-0.16,815784.9,673212.2,725224.8,339.326802572,22.0,0.0,-0.16,815784.9,673212.2,725224.8,None, None, None, None, None, None, None, None
###,PCCOCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922.560936767,H81 C53 N1 O10 P1 ,PC,44.0,12.0,0.0,PC 44:12:0,0.63,552981.8,463698.0,584973.5,327.233062744,22.0,6.0,0.33,346136.5,307111.3,308817.6,327.233062744,22.0,6.0,0.33,346136.5,307111.3,308817.6,283.24319458,138975.9,123314.9,125743.0,283.24319458,138975.9,123314.9,125743.0
###,PCCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826.561099527,H81 C45 N1 O10 P1 ,PC,36.0,4.0,0.0,PC 36:4:0,0.9,161807.6,134571.9,172322.6,255.23286946599998,16.0,0.0,-0.34,54169.5,40922.2,44147.6,303.233022054,20.0,4.0,0.22,138970.3,106585.5,117139.9,None, None, None, None, 259.243082682,6877.4,5503.9,5696.2
850.560733316,H81 C47 N1 O10 P1 ,PC,38.0,6.0,0.0,PC 38:6:0,0.44,75781.3,65690.9,78922.8,255.232859294,16.0,0.0,-0.38,32242.5,29370.3,33281.5,327.233062744,22.0,6.0,0.33,32367.9,30189.7,31130.9,None, None, None, None, 283.243184408,11379.4,10330.4,10905.2
852.577029703,H83 C47 N1 O10 P1 ,PC,38.0,5.0,0.0,PC 38:5:0,1.2,71244.6,59081.7,75822.6,281.248636882,18.0,1.0,0.11,10908.4,9343.2,8861.3,303.233032227,20.0,4.0,0.25,27651.6,22625.2,22201.2,None, None, None, None, 259.243082682,1318.4,1082.0,1104.2
852.577029703,H83 C47 N1 O10 P1 ,PC,38.0,5.0,0.0,PC 38:5:0,1.2,71244.6,59081.7,75822.6,255.232874552,16.0,0.0,-0.32,19768.2,17592.9,17422.9,329.24872843400004,22.0,5.0,0.37,21758.4,17502.7,18533.8,None, None, None, None, 285.258870443,3469.7,3066.7,3086.2
