Species	PRI_20180509_PC_heart_01.mzXML	PRI_20180509_PC_heart_02.mzXML	PRI_20180509_PC_heart_03.mzXML	PRI_Group-1	Mspecies	FAI.FC_20180509_PC_heart_01.mzXML	FAI.FC_20180509_PC_heart_02.mzXML	FAI.FC_20180509_PC_heart_03.mzXML	FAI.FC_Group-1
					PC 20:3 (5z-11z)/18:1	[0.0..9.085673E-4]	[0.0..0.0]	[0.0..0.0]	[0.0..9.085673E-4]
					PC 18:1/20:3 (5z-11z)	[0.09808524..0.12979533]	[0.08017515..0.108294316]	[0.085625574..0.110745825]	[0.08017515..0.12979533]
					PC 20:4 (5z-8z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 18:0/20:4 (5z-8z)	[0.9302502..1.0099362]	[0.9546209..1.0238459]	[0.9800545..1.1043458]	[0.9302502..1.1043458]
PC 38:5:0	0.6064018	0.6123081	0.6554232	[0.6064018..0.6554232]	Sum	[0.52918255..0.6936519]	[0.51129407..0.6941858]	[0.55253255..0.72159326]	[0.51129407..0.72159326]
					PC 22:5 (4z-7z)/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 16:0/22:5 (4z-7z)	[0.35428292..0.3769099]	[0.3532451..0.38615674]	[0.37039432..0.40369612]	[0.3532451..0.40369612]
					PC 20:3 (5z-11z)/18:2	[0.01593146..0.03787064]	[0.0..0.020587727]	[0.009242744..0.029718457]	[0.0..0.03787064]
					PC 18:2/20:3 (5z-11z)	[0.021530373..0.045090344]	[0.023987684..0.05333608]	[0.020096257..0.0473872]	[0.020096257..0.05333608]
					PC 20:4 (5z-8z)/18:1	[0.0..0.037721433]	[0.0..0.036243107]	[0.0..0.027561784]	[0.0..0.037721433]
					PC 18:1/20:4 (5z-8z)	[0.13356435..0.21931066]	[0.13243942..0.20135058]	[0.14183421..0.21874432]	[0.13243942..0.21931066]
PC 38:6:0	0.20604993	0.16684303	0.20667481	[0.16684303..0.20667481]	Sum	[0.13253531..0.322589]	[0.108448565..0.288616]	[0.15876627..0.29113755]	[0.108448565..0.322589]
					PC 20:4 (5z-8z)/18:2	[0.12606831..0.22872928]	[0.08962074..0.1904401]	[0.1243035..0.19711994]	[0.08962074..0.22872928]
					PC 18:2/20:4 (5z-8z)	[0.006303415..0.094321355]	[0.018719302..0.09854792]	[0.034333408..0.09430558]	[0.006303415..0.09854792]
PC 40:5:0	0.0	0.0	0.1034116	[0.0..0.1034116]	Sum	[0.0921178..0.14091983]	[0.09990786..0.1548548]	[0.102881156..0.16844355]	[0.0921178..0.16844355]
					PC 22:5 (4z-7z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 18:0/22:5 (4z-7z)	[0.092004105..0.14112149]	[0.099805675..0.15505439]	[0.102796465..0.16861019]	[0.092004105..0.16861019]
PC 44:0:0	6.7625413	6.7566814	7.392583	[6.7566814..7.392583]	Sum	[6.185686..6.787157]	[7.359485..8.496604]	[7.007237..7.6976495]	[6.185686..8.496604]
					PC 22:0/22:0	[6.1943626..6.7787795]	[7.367782..8.487913]	[7.0141683..7.691039]	[6.1943626..8.487913]
PC 44:12:0	6.569522	6.6526375	6.7429447	[6.569522..6.7429447]	Sum	[5.423813..6.599776]	[5.7335114..6.5489845]	[5.5006213..6.359663]	[5.423813..6.599776]
					PC 22:6 (4z)/22:6 (4z)	[5.431575..6.590965]	[5.739975..6.542285]	[5.506062..6.354202]	[5.431575..6.590965]
