CE,FA_C,FA_DB,FA_iso,sn_y,norm_Intensity,norm_Intensity_var
49,18,1,9,1,17.01197243,2.577080513
50,18,1,9,1,14.58453841,2.429694825
51,18,1,9,1,12.57271864,2.206343628
52,18,1,9,1,10.72086474,1.476142056
53,18,1,9,1,9.093019214,0.959158803
54,18,1,9,1,7.514479926,0.720574637
55,18,1,9,1,6.338827714,0.498799605
56,18,1,9,1,5.325222263,0.297908584
57,18,1,9,1,4.366520646,0.179502469
58,18,1,9,1,3.581305826,0.143059249
59,18,1,9,1,2.86495398,0.094536132
60,18,1,9,1,2.359934066,0.049946074
61,18,1,9,1,1.821897369,0.03265777
62,18,1,9,1,1.518677449,0.033175439
63,18,1,9,1,1.175718789,0.02122028
64,18,1,9,1,0.959175305,0.018406499
65,18,1,9,1,0.718991526,0.01080801
66,18,1,9,1,0.54056083,0.00613558
67,18,1,9,1,0.409780179,0.004490791
68,18,1,9,1,0.323130185,0.005306951
69,18,1,9,1,0.223807738,0.004853451
70,18,1,9,1,0.095610243,0.011858716
11,20,4,5,1,3.556528929,0.190650282
12,20,4,5,1,4.873561094,0.243038092
13,20,4,5,1,6.904162366,0.347071214
14,20,4,5,1,9.382011723,0.736764766
15,20,4,5,1,12.70660691,1.088225658
16,20,4,5,1,17.17224363,1.744842964
17,20,4,5,1,21.993684,2.759167942
18,20,4,5,1,27.61732906,3.75654596
19,20,4,5,1,32.62486211,6.950942679
20,20,4,5,1,37.05352391,7.818784404
21,20,4,5,1,40.36274483,7.703048303
22,20,4,5,1,44.36529006,6.874755307
23,20,4,5,1,44.12971903,9.922701193
24,20,4,5,1,43.33461406,10.52914812
25,20,4,5,1,42.77561363,10.80385171
26,20,4,5,1,40.73980274,9.103593371
27,20,4,5,1,38.43108226,10.95859122
28,20,4,5,1,36.01594017,4.175294489
29,20,4,5,1,33.10030637,5.737970032
30,20,4,5,1,29.56056131,3.331910764
31,20,4,5,1,26.32841334,3.660187477
32,20,4,5,1,23.712677,3.485777423
33,20,4,5,1,20.87012869,3.825680008
34,20,4,5,1,18.80701377,2.99417617
35,20,4,5,1,16.06617891,1.151636745
36,20,4,5,1,13.94979349,0.792918965
37,20,4,5,1,11.85134221,0.89091237
38,20,4,5,1,9.843788214,0.627351875
39,20,4,5,1,8.245535294,0.201045068
40,20,4,5,1,6.938994551,0.328367548
41,20,4,5,1,5.8292913,0.228709322
42,20,4,5,1,4.60646238,0.206372582
43,20,4,5,1,3.765911257,0.110107463
44,20,4,5,1,2.988406623,0.11189373
45,20,4,5,1,2.450139606,0.057391144
46,20,4,5,1,1.916679169,0.044071339
47,20,4,5,1,1.504042246,0.03587577
48,20,4,5,1,1.150164702,0.026346639
49,20,4,5,1,0.926251201,0.028137838
50,20,4,5,1,0.688502433,0.018081535
51,20,4,5,1,0.556608744,0.007352574
52,20,4,5,1,0.407639555,0.008807219
53,20,4,5,1,0.279631995,0.010062908
54,20,4,5,1,0.215380694,0.009729307
55,20,4,5,1,0.144230823,0.007089961
56,20,4,5,1,0.092122417,0.004409622
57,20,4,5,1,0.049167188,0.003399704
58,20,4,5,1,0.025961978,0.001417616
59,20,4,5,1,0.009775716,0.000362307
11,22,0,0,1,3.797641447,0.178342726
12,22,0,0,1,4.879523433,0.187964392
13,22,0,0,1,6.700663867,0.266240136
14,22,0,0,1,8.824716087,0.251517648
15,22,0,0,1,12.03252627,0.767141892
16,22,0,0,1,16.0498892,1.944465947
17,22,0,0,1,21.40955793,5.657326611
18,22,0,0,1,25.78473953,2.436956283
19,22,0,0,1,32.18116633,3.710976577
20,22,0,0,1,38.5418398,4.142767965
21,22,0,0,1,46.15122733,9.729817362
22,22,0,0,1,52.98120427,24.16067644
23,22,0,0,1,59.22114487,13.68296231
24,22,0,0,1,62.06833767,21.06864875
25,22,0,0,1,64.7322522,24.17400944
26,22,0,0,1,67.2180498,23.96897711
27,22,0,0,1,69.00071267,20.7786908
28,22,0,0,1,70.89306433,38.53946682
29,22,0,0,1,69.60779807,23.5333011
30,22,0,0,1,70.33750667,27.29272651
31,22,0,0,1,69.1675208,17.66502911
32,22,0,0,1,66.246554,7.226628625
33,22,0,0,1,66.1647252,27.85321523
34,22,0,0,1,66.098817,21.2129943
35,22,0,0,1,64.68593567,11.09456921
36,22,0,0,1,61.07827633,14.64533895
37,22,0,0,1,57.75730233,13.45505645
38,22,0,0,1,56.57373653,21.46902484
39,22,0,0,1,54.09231853,21.26118895
40,22,0,0,1,50.4020074,11.80691237
41,22,0,0,1,47.4990176,6.43648571
42,22,0,0,1,44.14035713,7.17740898
43,22,0,0,1,40.72858107,14.79008118
44,22,0,0,1,35.6096408,11.27058491
45,22,0,0,1,32.8272606,4.566430663
46,22,0,0,1,28.625786,7.377157696
47,22,0,0,1,25.9446148,3.750854327
48,22,0,0,1,22.27037053,2.965141155
49,22,0,0,1,18.99799947,2.248928593
50,22,0,0,1,16.0466402,0.924908976
51,22,0,0,1,13.80083593,0.839044482
52,22,0,0,1,10.89727863,1.075552261
53,22,0,0,1,9.276238433,0.973709787
