Species	PRI_20180509_PC_brain_01.mzXML	PRI_20180509_PC_brain_02.mzXML	PRI_20180509_PC_brain_03.mzXML	PRI_Group-1	Mspecies	FAI.FC_20180509_PC_brain_01.mzXML	FAI.FC_20180509_PC_brain_02.mzXML	FAI.FC_20180509_PC_brain_03.mzXML	FAI.FC_Group-1
					PC 22:2/18:1	[0.0069816154..0.03768136]	[0.0072133373..0.030285992]	[0.012522889..0.044954438]	[0.0069816154..0.044954438]
					PC 18:1/22:2	[0.0..0.020762429]	[0.008774433..0.032892205]	[0.0..0.028546069]	[0.0..0.032892205]
					PC 22:3 (13z)/18:0	[0.0..0.0012993617]	[0.0..0.043076005]	[0.0..0.020032082]	[0.0..0.043076005]
					PC 18:0/22:3 (13z)	[0.12871653..0.14437352]	[0.108278334..0.16441223]	[0.10825159..0.1430863]	[0.10825159..0.16441223]
PC 40:4:0	1.2477089	1.1385146	1.356623	[1.1385146..1.356623]	Sum	[1.1765175..1.3688283]	[1.1022182..1.4616317]	[1.1632621..1.4416068]	[1.1022182..1.4616317]
					PC 24:4 (9z)/16:0	[0.010995892..0.058549214]	[0.0060325568..0.036533054]	[0.0..0.029651111]	[0.0..0.058549214]
					PC 16:0/24:4 (9z)	[0.07030353..0.13294634]	[0.103238985..0.14139917]	[0.097229816..0.15205698]	[0.07030353..0.15205698]
					PC 22:4 (7z-10z)/18:0	[0.0..0.0]	[0.0..0.076726645]	[0.0..0.0]	[0.0..0.076726645]
					PC 18:0/22:4 (7z-10z)	[1.0292984..1.2401687]	[0.95844454..1.2375265]	[1.0402534..1.3094152]	[0.95844454..1.3094152]
PC 40:5:0	1.0537984	1.0690328	1.1664584	[1.0537984..1.1664584]	Sum	[1.0219795..1.2619603]	[0.9819615..1.2638459]	[0.92291594..1.311676]	[0.92291594..1.311676]
					PC 22:4 (7z-10z)/18:1	[0.025516232..0.0954537]	[0.045599915..0.11532564]	[0.057874057..0.15451072]	[0.025516232..0.15451072]
					PC 18:1/22:4 (7z-10z)	[0.08636264..0.1853318]	[0.07611415..0.15224645]	[0.044061217..0.13819207]	[0.044061217..0.1853318]
					PC 22:5 (4z-7z)/18:0	[0.0..0.002578011]	[0.0..0.0]	[0.0..0.0054746745]	[0.0..0.0054746745]
					PC 18:0/22:5 (4z-7z)	[0.80742..0.85933703]	[0.7598583..0.9078547]	[0.73350585..0.9124457]	[0.73350585..0.9124457]
					PC 20:4 (5z-8z)/20:1	[0.0..0.01602997]	[0.0..0.0]	[0.0..0.0]	[0.0..0.01602997]
					PC 20:1/20:4 (5z-8z)	[0.073581725..0.11449979]	[0.07639808..0.12199295]	[0.0798903..0.11185462]	[0.073581725..0.12199295]
PC 40:6:0	2.295749	2.2478042	2.5275578	[2.2478042..2.5275578]	Sum	[2.1591885..2.4919572]	[2.6420777..2.8454692]	[2.2013776..2.705909]	[2.1591885..2.8454692]
					PC 22:5 (4z-7z)/18:1	[0.33433497..0.43311858]	[0.33558887..0.43030867]	[0.34929726..0.4342425]	[0.33433497..0.4342425]
					PC 18:1/22:5 (4z-7z)	[0.0..0.0]	[0.0..0.010327408]	[0.0..0.0]	[0.0..0.010327408]
					PC 22:6 (4z)/18:0	[0.0..0.117353804]	[0.0..0.0]	[0.0..0.13583979]	[0.0..0.13583979]
					PC 18:0/22:6 (4z)	[1.7106663..2.0588386]	[2.292435..2.4438605]	[1.7485034..2.302369]	[1.7106663..2.4438605]
PC 40:7:0	0.46947023	0.5165681	0.54463655	[0.46947023..0.54463655]	Sum	[0.45109588..0.5644849]	[0.46796837..0.5940819]	[0.41303027..0.5941835]	[0.41303027..0.5941835]
					PC 22:6 (4z)/18:1	[0.11449986..0.3496967]	[0.1554041..0.39206126]	[0.080389746..0.404609]	[0.080389746..0.404609]
					PC 18:1/22:6 (4z)	[0.16971324..0.41795748]	[0.15822111..0.39560935]	[0.12970097..0.47469413]	[0.12970097..0.47469413]
PC 44:0:0	23.728228	23.834703	26.30639	[23.728228..26.30639]	Sum	[25.28147..26.521898]	[26.103394..28.139257]	[23.82778..25.81107]	[23.82778..28.139257]
					PC 22:0/22:0	[25.28147..26.521898]	[26.103394..28.139257]	[23.82778..25.81107]	[23.82778..28.139257]
PC 44:12:0	23.69231	22.949356	24.915186	[22.949356..24.915186]	Sum	[20.13608..23.35371]	[19.558386..25.925386]	[19.883795..23.717905]	[19.558386..25.925386]
					PC 22:6 (4z)/22:6 (4z)	[20.13608..23.35371]	[19.558386..25.925386]	[19.883795..23.717905]	[19.558386..25.925386]
